	ID	Description	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneRatio	Regions
GO:0045104	GO:0045104	intermediate filament cytoskeleton organization	96/28928	0.0625	51.65714286	17.30327557	1.71E-09	6.02E-07	4.03E-07	Dsp/Krt12/Krt5/Krt6a/Krt6b/Ppl	6	0.171428571	Cornea&Conj
GO:0045103	GO:0045103	intermediate filament-based process	97/28928	0.06185567	51.12459499	17.21061113	1.82E-09	6.02E-07	4.03E-07	Dsp/Krt12/Krt5/Krt6a/Krt6b/Ppl	6	0.171428571	Cornea&Conj
GO:0031424	GO:0031424	keratinization	64/28928	0.078125	64.57142857	17.71997485	1.39E-08	3.07E-06	2.05E-06	Krt5/Krt6a/Krt6b/Ppl/Sfn	5	0.142857143	Cornea&Conj
GO:0045109	GO:0045109	intermediate filament organization	76/28928	0.065789474	54.37593985	16.2163747	3.34E-08	5.51E-06	3.69E-06	Dsp/Krt12/Krt5/Krt6a/Krt6b	5	0.142857143	Cornea&Conj
GO:0030216	GO:0030216	keratinocyte differentiation	169/28928	0.035502959	29.34370245	12.86182047	5.13E-08	6.77E-06	4.54E-06	Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn	6	0.171428571	Cornea&Conj
GO:0043588	GO:0043588	skin development	351/28928	0.01994302	16.48319088	10.15769364	1.83E-07	2.01E-05	1.35E-05	Asprv1/Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn	7	0.2	Cornea&Conj
GO:0009913	GO:0009913	epidermal cell differentiation	261/28928	0.022988506	19.00032841	10.16714366	6.64E-07	6.26E-05	4.19E-05	Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn	6	0.171428571	Cornea&Conj
GO:0042060	GO:0042060	wound healing	394/28928	0.015228426	12.58651197	8.059514818	7.14E-06	0.000589222	0.000394694	Anxa2/Dsp/Krt6a/Plet1/Ppl/S100a10	6	0.171428571	Cornea&Conj
GO:0008544	GO:0008544	epidermis development	409/28928	0.014669927	12.12490395	7.886425018	8.83E-06	0.000647849	0.000433966	Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn	6	0.171428571	Cornea&Conj
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	61/28928	0.049180328	40.64824356	10.78890689	5.56E-05	0.003672691	0.002460175	Dsc2/Dsp/Perp	3	0.085714286	Cornea&Conj
GO:0001662	GO:0001662	behavioral fear response	58/28928	0.051724138	93.51724138	16.59150954	4.20E-06	0.001327602	0.000597695	Atp1a2/Gja1/Penk	3	0.1875	CB
GO:0002209	GO:0002209	behavioral defense response	59/28928	0.050847458	91.93220339	16.44752184	4.43E-06	0.001327602	0.000597695	Atp1a2/Gja1/Penk	3	0.1875	CB
GO:0042596	GO:0042596	fear response	65/28928	0.046153846	83.44615385	15.65413106	5.94E-06	0.001327602	0.000597695	Atp1a2/Gja1/Penk	3	0.1875	CB
GO:0072348	GO:0072348	sulfur compound transport	67/28928	0.044776119	80.95522388	15.41349689	6.51E-06	0.001327602	0.000597695	Gja1/Slc26a4/Slc6a13	3	0.1875	CB
GO:0140115	GO:0140115	export across plasma membrane	79/28928	0.037974684	68.65822785	14.16580971	1.07E-05	0.001746146	0.000786126	Atp1a2/Gja1/Slc4a4	3	0.1875	CB
GO:0032355	GO:0032355	response to estradiol	125/28928	0.024	43.392	11.17358848	4.23E-05	0.002878428	0.001295887	Crhbp/Gja1/Penk	3	0.1875	CB
GO:0033555	GO:0033555	multicellular organismal response to stress	125/28928	0.024	43.392	11.17358848	4.23E-05	0.002878428	0.001295887	Atp1a2/Gja1/Penk	3	0.1875	CB
GO:0035725	GO:0035725	sodium ion transmembrane transport	184/28928	0.016304348	29.47826087	9.116358489	0.000133384	0.006802603	0.003062575	Atp1a2/Slc4a4/Slc6a13	3	0.1875	CB
GO:0030534	GO:0030534	adult behavior	198/28928	0.015151515	27.39393939	8.766810493	0.000165615	0.007507893	0.003380102	Atp1a2/Crhbp/Zic1	3	0.1875	CB
GO:0022898	GO:0022898	regulation of transmembrane transporter activity	209/28928	0.014354067	25.95215311	8.516656561	0.000194214	0.008340985	0.003755165	Atp1a2/Crhbp/Gja1	3	0.1875	CB
GO:0030282	GO:0030282	bone mineralization	143/28928	0.027972028	73.56134774	16.96530475	1.84E-07	0.000166987	5.69E-05	Gpnmb/Grem1/Igf1/Ptn	4	0.363636364	Iris
GO:0031214	GO:0031214	biomineral tissue development	191/28928	0.020942408	55.07472632	14.62384996	5.86E-07	0.000266095	9.07E-05	Gpnmb/Grem1/Igf1/Ptn	4	0.363636364	Iris
GO:0048771	GO:0048771	tissue remodeling	222/28928	0.018018018	47.38411138	13.53102856	1.07E-06	0.000314528	0.000107201	Gpnmb/Grem1/Igf1/Ptn	4	0.363636364	Iris
GO:0043542	GO:0043542	endothelial cell migration	237/28928	0.016877637	44.38511699	13.08017414	1.39E-06	0.000314528	0.000107201	Dcn/Grem1/Igf1/Ptn	4	0.363636364	Iris
GO:2000177	GO:2000177	regulation of neural precursor cell proliferation	137/28928	0.02189781	57.58725946	12.94857549	1.67E-05	0.002523583	0.000860113	Dct/Igf1/Ptn	3	0.272727273	Iris
GO:0055007	GO:0055007	cardiac muscle cell differentiation	164/28928	0.018292683	48.10643016	11.7991005	2.85E-05	0.003473204	0.001183772	Grem1/Igf1/Myh11	3	0.272727273	Iris
GO:0010594	GO:0010594	regulation of endothelial cell migration	181/28928	0.016574586	43.58814666	11.20993739	3.83E-05	0.003473204	0.001183772	Dcn/Igf1/Ptn	3	0.272727273	Iris
GO:0035051	GO:0035051	cardiocyte differentiation	203/28928	0.014778325	38.86430811	10.55891876	5.39E-05	0.003495675	0.001191431	Grem1/Igf1/Myh11	3	0.272727273	Iris
GO:0070374	GO:0070374	positive regulation of ERK1 and ERK2 cascade	227/28928	0.013215859	34.75530637	9.958132285	7.51E-05	0.003939142	0.001342578	Acta2/Gpnmb/Igf1	3	0.272727273	Iris
GO:0061351	GO:0061351	neural precursor cell proliferation	230/28928	0.013043478	34.30197628	9.889618359	7.81E-05	0.003939142	0.001342578	Dct/Igf1/Ptn	3	0.272727273	Iris
GO:0007272	GO:0007272	ensheathment of neurons	203/28928	0.054187192	55.98311049	24.46972549	2.99E-17	9.26E-15	5.72E-15	Bcas1/Cldn11/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a	11	0.392857143	Optic Nerve
GO:0008366	GO:0008366	axon ensheathment	203/28928	0.054187192	55.98311049	24.46972549	2.99E-17	9.26E-15	5.72E-15	Bcas1/Cldn11/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a	11	0.392857143	Optic Nerve
GO:0042063	GO:0042063	gliogenesis	417/28928	0.028776978	29.7307297	18.39459587	1.70E-15	3.51E-13	2.16E-13	Cnp/Enpp2/Gfap/Gpr37l1/Mag/Mobp/Opalin/Plp1/Ptn/Trf/Tspan2/Vim	12	0.428571429	Optic Nerve
GO:0042552	GO:0042552	myelination	200/28928	0.05	51.65714286	22.37612014	2.34E-15	3.63E-13	2.24E-13	Bcas1/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a	10	0.357142857	Optic Nerve
GO:0010001	GO:0010001	glial cell differentiation	309/28928	0.035598706	36.77854831	19.68142411	3.16E-15	3.91E-13	2.41E-13	Cnp/Enpp2/Gfap/Gpr37l1/Mag/Mobp/Opalin/Plp1/Ptn/Tspan2/Vim	11	0.392857143	Optic Nerve
GO:0048709	GO:0048709	oligodendrocyte differentiation	135/28928	0.059259259	61.22328042	21.83079875	5.24E-13	5.41E-11	3.34E-11	Cnp/Enpp2/Mag/Mobp/Opalin/Plp1/Ptn/Tspan2	8	0.285714286	Optic Nerve
GO:0014013	GO:0014013	regulation of gliogenesis	144/28928	0.048611111	50.22222222	18.43099078	7.09E-11	6.27E-09	3.87E-09	Enpp2/Gfap/Gpr37l1/Mag/Ptn/Trf/Vim	7	0.25	Optic Nerve
GO:0014015	GO:0014015	positive regulation of gliogenesis	94/28928	0.063829787	65.94528875	19.63093223	3.56E-10	2.75E-08	1.70E-08	Enpp2/Gfap/Mag/Ptn/Trf/Vim	6	0.214285714	Optic Nerve
GO:0048708	GO:0048708	astrocyte differentiation	97/28928	0.06185567	63.90574374	19.31648529	4.31E-10	2.97E-08	1.83E-08	Gfap/Gpr37l1/Mag/Plp1/Tspan2/Vim	6	0.214285714	Optic Nerve
GO:0021782	GO:0021782	glial cell development	147/28928	0.040816327	42.16909621	15.57610452	5.34E-09	3.30E-07	2.04E-07	Gfap/Mag/Mobp/Plp1/Tspan2/Vim	6	0.214285714	Optic Nerve
GO:0008088	GO:0008088	axo-dendritic transport	94/28928	0.031914894	54.30788486	12.5530001	2.19E-05	0.004677998	0.002370063	Kif5a/Nefl/Nefm	3	0.176470588	GCL
GO:0050803	GO:0050803	regulation of synapse structure or activity	398/28928	0.010050251	17.10198049	7.843583928	7.29E-05	0.007621262	0.00386124	Nefl/Nrn1/Slc17a6/Sparcl1	4	0.235294118	GCL
GO:0010970	GO:0010970	transport along microtubule	190/28928	0.015789474	26.86811146	8.674767733	0.000177205	0.010834842	0.005489369	Kif5a/Nefl/Nefm	3	0.176470588	GCL
GO:0030705	GO:0030705	cytoskeleton-dependent intracellular transport	212/28928	0.014150943	24.07991121	8.178707819	0.000244608	0.013086511	0.006630156	Kif5a/Nefl/Nefm	3	0.176470588	GCL
GO:0099111	GO:0099111	microtubule-based transport	243/28928	0.012345679	21.00798838	7.594929342	0.000364905	0.016483014	0.008350961	Kif5a/Nefl/Nefm	3	0.176470588	GCL
GO:0099003	GO:0099003	vesicle-mediated transport in synapse	317/28928	0.009463722	16.10391538	6.556880339	0.000790897	0.019324157	0.009790399	Nsg1/Slc17a6/Sncg	3	0.176470588	GCL
GO:0050807	GO:0050807	regulation of synapse organization	390/28928	0.007692308	13.08959276	5.828768544	0.00143677	0.02410885	0.012214518	Nefl/Nrn1/Sparcl1	3	0.176470588	GCL
GO:0007612	GO:0007612	learning	206/28928	0.024271845	25.07628294	10.79437501	1.50E-06	0.000859705	0.00039641	Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11	5	0.178571429	INL
GO:0007416	GO:0007416	synapse assembly	304/28928	0.016447368	16.9924812	8.725077057	1.00E-05	0.002863824	0.00132051	Adgrb3/Gabrb3/Mdga2/Nrxn3/Ptprd	5	0.178571429	INL
GO:0007611	GO:0007611	learning or memory	356/28928	0.014044944	14.51043339	7.983728339	2.14E-05	0.00288066	0.001328273	Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11	5	0.178571429	INL
GO:0097106	GO:0097106	postsynaptic density organization	59/28928	0.050847458	52.53268765	12.33317009	2.55E-05	0.00288066	0.001328273	Dlg2/Nrxn3/Ptprd	3	0.107142857	INL
