"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","geneRatio","Regions"
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","6/35","96/28928",0.0625,51.6571428571429,17.303275567619,1.71192666687212e-09,6.01666198182664e-07,4.03029989213268e-07,"Dsp/Krt12/Krt5/Krt6a/Krt6b/Ppl",6,0.171428571428571,"Cornea&Conj"
"GO:0045103","GO:0045103","intermediate filament-based process","6/35","97/28928",0.0618556701030928,51.1245949926362,17.2106111250328,1.82323090358383e-09,6.01666198182664e-07,4.03029989213268e-07,"Dsp/Krt12/Krt5/Krt6a/Krt6b/Ppl",6,0.171428571428571,"Cornea&Conj"
"GO:0031424","GO:0031424","keratinization","5/35","64/28928",0.078125,64.5714285714286,17.7199748521134,1.39374119905727e-08,3.06623063792599e-06,2.05393439861071e-06,"Krt5/Krt6a/Krt6b/Ppl/Sfn",5,0.142857142857143,"Cornea&Conj"
"GO:0045109","GO:0045109","intermediate filament organization","5/35","76/28928",0.0657894736842105,54.3759398496241,16.2163747015173,3.34227970321146e-08,5.51476151029891e-06,3.69409861933898e-06,"Dsp/Krt12/Krt5/Krt6a/Krt6b",5,0.142857142857143,"Cornea&Conj"
"GO:0030216","GO:0030216","keratinocyte differentiation","6/35","169/28928",0.0355029585798817,29.3437024513948,12.8618204705116,5.12976786122217e-08,6.77129357681326e-06,4.53579474044908e-06,"Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn",6,0.171428571428571,"Cornea&Conj"
"GO:0043588","GO:0043588","skin development","7/35","351/28928",0.0199430199430199,16.4831908831909,10.1576936350918,1.83134207998259e-07,2.01447628798085e-05,1.34940995367138e-05,"Asprv1/Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn",7,0.2,"Cornea&Conj"
"GO:0009913","GO:0009913","epidermal cell differentiation","6/35","261/28928",0.0229885057471264,19.000328407225,10.1671436645459,6.63767688919986e-07,6.25838106695987e-05,4.19221698265255e-05,"Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn",6,0.171428571428571,"Cornea&Conj"
"GO:0042060","GO:0042060","wound healing","6/35","394/28928",0.0152284263959391,12.5865119651922,8.05951481781782,7.14208356170293e-06,0.000589221893840492,0.000394694091567793,"Anxa2/Dsp/Krt6a/Plet1/Ppl/S100a10",6,0.171428571428571,"Cornea&Conj"
"GO:0008544","GO:0008544","epidermis development","6/35","409/28928",0.0146699266503667,12.1249039469088,7.88642501820177,8.83431067269764e-06,0.00064784944933116,0.000433966138307954,"Dsp/Krt5/Krt6a/Krt6b/Ppl/Sfn",6,0.171428571428571,"Cornea&Conj"
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","3/35","61/28928",0.0491803278688525,40.648243559719,10.7889068918993,5.56468262539577e-05,0.00367269053276121,0.00246017547649076,"Dsc2/Dsp/Perp",3,0.0857142857142857,"Cornea&Conj"
"GO:0001662","GO:0001662","behavioral fear response","3/16","58/28928",0.0517241379310345,93.5172413793103,16.5915095411877,4.20450351114127e-06,0.00132760220679098,0.000597695007959304,"Atp1a2/Gja1/Penk",3,0.1875,"CB"
"GO:0002209","GO:0002209","behavioral defense response","3/16","59/28928",0.0508474576271186,91.9322033898305,16.4475218395102,4.42825118031067e-06,0.00132760220679098,0.000597695007959304,"Atp1a2/Gja1/Penk",3,0.1875,"CB"
"GO:0042596","GO:0042596","fear response","3/16","65/28928",0.0461538461538462,83.4461538461538,15.6541310614525,5.93789492912322e-06,0.00132760220679098,0.000597695007959304,"Atp1a2/Gja1/Penk",3,0.1875,"CB"
"GO:0072348","GO:0072348","sulfur compound transport","3/16","67/28928",0.0447761194029851,80.955223880597,15.4134968899734,6.50785395485775e-06,0.00132760220679098,0.000597695007959304,"Gja1/Slc26a4/Slc6a13",3,0.1875,"CB"
"GO:0140115","GO:0140115","export across plasma membrane","3/16","79/28928",0.0379746835443038,68.6582278481013,14.1658097088056,1.06994267757132e-05,0.0017461464497964,0.000786126304152402,"Atp1a2/Gja1/Slc4a4",3,0.1875,"CB"
"GO:0032355","GO:0032355","response to estradiol","3/16","125/28928",0.024,43.392,11.1735884784418,4.23298211504539e-05,0.00287842783823086,0.00129588662995688,"Crhbp/Gja1/Penk",3,0.1875,"CB"
"GO:0033555","GO:0033555","multicellular organismal response to stress","3/16","125/28928",0.024,43.392,11.1735884784418,4.23298211504539e-05,0.00287842783823086,0.00129588662995688,"Atp1a2/Gja1/Penk",3,0.1875,"CB"
"GO:0035725","GO:0035725","sodium ion transmembrane transport","3/16","184/28928",0.016304347826087,29.4782608695652,9.11635848863937,0.000133384370588713,0.00680260290002437,0.00306257535101717,"Atp1a2/Slc4a4/Slc6a13",3,0.1875,"CB"
"GO:0030534","GO:0030534","adult behavior","3/16","198/28928",0.0151515151515152,27.3939393939394,8.76681049325434,0.00016561529111885,0.00750789319738788,0.00338010155558355,"Atp1a2/Crhbp/Zic1",3,0.1875,"CB"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","3/16","209/28928",0.0143540669856459,25.9521531100478,8.51665656056332,0.00019421410631282,0.00834098477638215,0.00375516471485729,"Atp1a2/Crhbp/Gja1",3,0.1875,"CB"
"GO:0030282","GO:0030282","bone mineralization","4/11","143/28928",0.027972027972028,73.5613477431659,16.9653047508115,1.83906193234827e-07,0.000166986823457223,5.69141271695148e-05,"Gpnmb/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
"GO:0031214","GO:0031214","biomineral tissue development","4/11","191/28928",0.0209424083769634,55.0747263207996,14.6238499612587,5.8611306482796e-07,0.000266095331431894,9.06932847681159e-05,"Gpnmb/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
"GO:0048771","GO:0048771","tissue remodeling","4/11","222/28928",0.018018018018018,47.3841113841114,13.5310285611484,1.06799453838051e-06,0.000314528234478719,0.000107200673471764,"Gpnmb/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
