"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Calb2",5.84582646287476e-203,-2.06393424507093,0.153,0.484,1.42532940817812e-198,"GCL","Calb2"
"Snap25",4.84985223825214e-158,-1.40176306906926,0.33,0.635,1.18249097273064e-153,"GCL","Snap25"
"Apoe",5.30807041306806e-154,2.78916710171506,0.456,0.174,1.29421372811425e-149,"GCL","Apoe"
"Lyz2",1.46916919278348e-135,4.26719243590016,0.258,0.041,3.58212832584468e-131,"GCL","Lyz2"
"Rab3a",4.53185135219841e-132,-1.40006532913851,0.288,0.554,1.10495599669302e-127,"GCL","Rab3a"
"Pcp4",8.68035883622288e-131,-1.41915290061726,0.23,0.503,2.11644509144786e-126,"GCL","Pcp4"
"Eef1a1",3.5384073858683e-120,1.18237908640365,0.661,0.466,8.62734488822409e-116,"GCL","Eef1a1"
"Tmsb4x",7.86054757814371e-118,1.01362134707286,0.773,0.645,1.916558710503e-113,"GCL","Tmsb4x"
"Ctsd",4.59105763207779e-117,2.15124559909338,0.477,0.246,1.11939167185321e-112,"GCL","Ctsd"
"Snhg11",8.39103188343258e-110,-1.06537477381031,0.307,0.564,2.04590139381853e-105,"GCL","Snhg11"
"C1qa",6.42998515561705e-100,3.64772813945708,0.186,0.022,1.56775898064255e-95,"GCL","C1qa"
"Ctss",1.9790173824775e-99,3.33853598413702,0.196,0.028,4.82524018195663e-95,"GCL","Ctss"
"Vim",3.53531466150094e-96,2.00902709975941,0.338,0.13,8.61980420767159e-92,"GCL","Vim"
"Atp1b1",1.12981310989727e-94,-1.17887508633716,0.263,0.499,2.75471032455153e-90,"GCL","Atp1b1"
"Nefl",3.8820213454798e-93,-1.21848420198513,0.237,0.463,9.46514444454884e-89,"GCL","Nefl"
"B2m",4.11667768200431e-93,2.57669594358881,0.23,0.053,1.00372835242629e-88,"GCL","B2m"
"Mt2",2.4875236583765e-91,2.41394179457184,0.32,0.127,6.06508018385357e-87,"GCL","Mt2"
"Crym",3.47844587805468e-89,3.09516755258295,0.192,0.034,8.48114673987292e-85,"GCL","Crym"
"Tpt1",1.60203188599197e-84,1.21466341358259,0.535,0.339,3.90607414442563e-80,"GCL","Tpt1"
"Nap1l5",2.04957564422454e-80,-1.31095025016082,0.163,0.362,4.99727533574828e-76,"GCL","Nap1l5"
"Ecel1",1.7088897282758e-76,6.28015501177023,0.112,0.002,4.16661493548205e-72,"GCL","Ecel1"
"Rab6b",1.99243126015712e-75,-1.23088745880126,0.185,0.38,4.85794589851508e-71,"GCL","Rab6b"
"Cp",7.95923091538727e-73,2.54795613880809,0.192,0.047,1.94061968178973e-68,"GCL","Cp"
"Saa3",2.42801455935757e-72,5.30030625853241,0.147,0.022,5.91998509862563e-68,"GCL","Saa3"
"Calm2",9.34231132575102e-72,-1.01350682772223,0.281,0.479,2.27784234744461e-67,"GCL","Calm2"
"Sncg",4.89218630819755e-70,-1.63779402134399,0.115,0.279,1.19281286566473e-65,"GCL","Sncg"
"Nme7",6.21055655057215e-70,-1.43460043569207,0.164,0.341,1.5142578981605e-65,"GCL","Nme7"
"Tpi1",9.92515572048644e-70,-1.05962470264639,0.202,0.395,2.419951467769e-65,"GCL","Tpi1"
"Gfap",2.20919411312046e-69,2.3302755137463,0.189,0.047,5.3864570866103e-65,"GCL","Gfap"
"Ctsb",7.12624686437175e-69,1.79216605971904,0.351,0.175,1.73752151047112e-64,"GCL","Ctsb"
"Kcnip4",2.91283961128677e-68,-1.72238289186062,0.156,0.326,7.1020855402394e-64,"GCL","Kcnip4"
"Nrn1",3.14827314918991e-61,-1.83783245848023,0.072,0.206,7.67611959235483e-57,"GCL","Nrn1"
"Aldoc",5.51563296427406e-61,-1.15257200996888,0.151,0.316,1.3448216293493e-56,"GCL","Aldoc"
