"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006955","GO:0006955","immune response",119,0.649226424657738,2.75642822191438,1e-10,9.32925771988344e-09,6.74925892611409e-09,170,"tags=72%, list=33%, signal=63%","S100a8/Wfdc17/Lcn2/Lst1/Mpeg1/S100a9/Pirb/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/C3ar1/C1qb/Fcer1g/H2-Aa/Lcp1/Cybb/Ptpn6/Csf3r/Myo1f/Mmp12/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Adgre1/Vsir/Tyrobp/Ncf1/Fcgr3/Laptm5/Ctss/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Oasl2/Apbb1ip/Irf5/Irf7/Slfn2/Ctsc/Csf1r/Pik3ap1/Apoe/Grn/C3/Dock2/Inpp5d/H2-K1/Cyba/B2m/Il4ra/Gbp3/Rnase4/Lyn/Cx3cr1/Bst2/Dock10/Anxa3/Ifit1/Ifit2/Cfb/Sbno2/Samsn1/Pim1/Vim/Parp14/H2-T23/Adam17/Ctsh/Ifitm3/H2-D1/Trf/Stat3"
"GO:0002449","GO:0002449","lymphocyte mediated immunity",36,0.718679931758837,2.69775635420157,1e-10,9.32925771988344e-09,6.74925892611409e-09,105,"tags=78%, list=20%, signal=67%","Pirb/Trem2/Ptprc/Ccr2/Fcgr2b/C1qb/Fcer1g/Ptpn6/Csf3r/Cd74/Vav1/C1qa/C1qc/Vsir/Fcgr3/Nckap1l/Arg1/Unc93b1/Fcgr1/Il1b/Irf7/Slfn2/Ctsc/C3/Inpp5d/H2-K1/B2m/Il4ra"
"GO:0043207","GO:0043207","response to external biotic stimulus",110,0.627893498480932,2.65705855539874,1e-10,9.32925771988344e-09,6.74925892611409e-09,204,"tags=81%, list=39%, signal=62%","S100a8/Wfdc17/Lcn2/Saa3/Il10ra/Mpeg1/S100a9/Ccr5/Trem2/Ptprc/Lyz2/Fcgr2b/C1qb/Fcer1g/Cybb/Hp/Ptpn6/Myo1f/Mmp12/Cd52/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Tyrobp/Ncf1/Ifi27l2a/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Abca1/Irf5/Irf7/Slfn2/Csf1r/Pik3ap1/Apoe/Grn/C3/H2-K1/Cyba/B2m/Il4ra/Apobec1/Gbp3/Rnase4/Mt2/Serpina3n/Lyn/Cx3cr1/Bst2/Anxa3/Ifit1/Rnf213/Ifit2/Cfb/Sbno2/Pim1/Vim/Parp14/H2-T23/Adam17/Ifitm3/Trf/Npc2/Adamts5/Wipf1/Tnfrsf1a/Cebpb/Coro1a/Stat1/Tnfaip8/Mrc1/Axl/Arid5a/Litaf/Tspo/Cotl1/Il10rb/Lgals3"
"GO:0051707","GO:0051707","response to other organism",110,0.627893498480932,2.65705855539874,1e-10,9.32925771988344e-09,6.74925892611409e-09,204,"tags=81%, list=39%, signal=62%","S100a8/Wfdc17/Lcn2/Saa3/Il10ra/Mpeg1/S100a9/Ccr5/Trem2/Ptprc/Lyz2/Fcgr2b/C1qb/Fcer1g/Cybb/Hp/Ptpn6/Myo1f/Mmp12/Cd52/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Tyrobp/Ncf1/Ifi27l2a/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Abca1/Irf5/Irf7/Slfn2/Csf1r/Pik3ap1/Apoe/Grn/C3/H2-K1/Cyba/B2m/Il4ra/Apobec1/Gbp3/Rnase4/Mt2/Serpina3n/Lyn/Cx3cr1/Bst2/Anxa3/Ifit1/Rnf213/Ifit2/Cfb/Sbno2/Pim1/Vim/Parp14/H2-T23/Adam17/Ifitm3/Trf/Npc2/Adamts5/Wipf1/Tnfrsf1a/Cebpb/Coro1a/Stat1/Tnfaip8/Mrc1/Axl/Arid5a/Litaf/Tspo/Cotl1/Il10rb/Lgals3"
"GO:0002376","GO:0002376","immune system process",167,0.613674706016655,2.65687060670396,1e-10,9.32925771988344e-09,6.74925892611409e-09,247,"tags=83%, list=48%, signal=64%","S100a8/Wfdc17/Lcn2/Lst1/Mpeg1/S100a9/Pirb/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/C3ar1/C1qb/Fcer1g/H2-Aa/Lcp1/Cybb/Hp/Ptpn6/Csf3r/Myo1f/Mmp12/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Adgre1/Vsir/Tyrobp/Ncf1/Fcgr3/Laptm5/Ctss/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Oasl2/Dock8/Apbb1ip/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Pik3ap1/Apoe/Skap2/Grn/C3/Dock2/Inpp5d/H2-K1/Cyba/B2m/Il4ra/Prex1/Gbp3/Rnase4/Lyn/Cx3cr1/Bst2/Rassf2/Dock10/Anxa3/Ifit1/Rnf213/Ifit2/Jun/Cfb/Msn/Sbno2/Samsn1/Mertk/Tmem176a/Pim1/Vim/Parp14/H2-T23/Adam17/Ctsh/Ifitm3/H2-D1/Trf/Spp1/Stat3/Psmb8/Sdc4/Mmp14/Rbp1/Irf9/Lgmn/Cebpb/Coro1a/Hmox1/Stat1/Mrc1/Axl/Arid5a/Litaf/Ptbp3/Cd38/Lgals3/Ctla2a/Notch2/Zfp36/Pnp/Zfp36l1/Myh9/P2rx4/Pdpn/Tapbp/Ecm1/Trim56/Tmem176b/Tgfbr2/Vcam1/Nras/Adcyap1/Cd9/Clu/Ccnd3/Nfkbia/Pou2f2/Mafb"
"GO:0009607","GO:0009607","response to biotic stimulus",114,0.62500858102602,2.64931217462963,1e-10,9.32925771988344e-09,6.74925892611409e-09,204,"tags=80%, list=39%, signal=62%","S100a8/Wfdc17/Lcn2/Saa3/Il10ra/Mpeg1/S100a9/Ccr5/Trem2/Ptprc/Lyz2/Fcgr2b/C1qb/Fcer1g/Cybb/Hp/Ptpn6/Myo1f/Mmp12/Cd52/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Tyrobp/Ncf1/Laptm5/Ifi27l2a/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Abca1/Irf5/Irf7/Slfn2/Csf1r/Pik3ap1/Apoe/Grn/C3/H2-K1/Cyba/B2m/Il4ra/Apobec1/Gbp3/Rnase4/Mt2/Serpina3n/Lyn/Cx3cr1/Bst2/Anxa3/Ifit1/Rnf213/Ifit2/Cfb/Sbno2/Pim1/Vim/Parp14/H2-T23/Adam17/Ifitm3/Trf/Npc2/Adamts5/Wipf1/Tnfrsf1a/Cebpb/Coro1a/Stat1/Tnfaip8/Mrc1/Axl/Arid5a/Litaf/Tspo/Txnip/Cotl1/Il10rb/Lgals3"
"GO:0002443","GO:0002443","leukocyte mediated immunity",47,0.675739251009271,2.64700139375059,1e-10,9.32925771988344e-09,6.74925892611409e-09,129,"tags=77%, list=25%, signal=63%","Pirb/Trem2/Ptprc/Ccr2/Fcgr2b/C1qb/Fcer1g/Ptpn6/Csf3r/Myo1f/Cd74/Vav1/C1qa/C1qc/Vsir/Tyrobp/Ncf1/Fcgr3/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Il1b/Irf7/Slfn2/Ctsc/C3/Inpp5d/H2-K1/B2m/Il4ra/Lyn/Cx3cr1/Bst2/Anxa3"
"GO:0050776","GO:0050776","regulation of immune response",68,0.646721406554268,2.6457973713756,1e-10,9.32925771988344e-09,6.74925892611409e-09,111,"tags=63%, list=21%, signal=57%","S100a8/S100a9/Pirb/Trem2/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/C3ar1/C1qb/Fcer1g/H2-Aa/Ptpn6/Myo1f/Mmp12/Cd74/Vav1/Ifi204/C1qa/C1qc/Vsir/Tyrobp/Ncf1/Fcgr3/Laptm5/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Il1b/Irf7/Pik3ap1/Apoe/Grn/C3/Inpp5d/H2-K1/Cyba/B2m/Il4ra/Gbp3"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",115,0.619391250773803,2.62779105071606,1e-10,9.32925771988344e-09,6.74925892611409e-09,204,"tags=79%, list=39%, signal=62%","S100a8/Wfdc17/Lcn2/Saa3/Il10ra/Mpeg1/S100a9/Ccr5/Trem2/Ptprc/Lyz2/Fcgr2b/C1qb/Fcer1g/Cybb/Hp/Ptpn6/Myo1f/Mmp12/Cd52/Cd74/Vav1/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Tyrobp/Ncf1/Ifi27l2a/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Abca1/Irf5/Irf7/Slfn2/Csf1r/Pik3ap1/Apoe/Grn/C3/H2-K1/Cyba/B2m/Il4ra/Apobec1/Gbp3/Rnase4/Mt2/Serpina3n/Lyn/Cx3cr1/Bst2/Anxa3/Ifit1/Rnf213/Ifit2/Jun/Cfb/Sbno2/Pim1/Vim/Parp14/H2-T23/Adam17/Ifitm3/Trf/Npc2/Adamts5/Wipf1/Tnfrsf1a/Ctsb/Cebpb/Coro1a/Stat1/Tnfaip8/Mrc1/Axl/Arid5a/Litaf/Tspo/Cotl1/Il10rb/Lgals3"
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",38,0.694091487998166,2.62640314041725,1.04026188462968e-10,9.32925771988344e-09,6.74925892611409e-09,105,"tags=74%, list=20%, signal=63%","Pirb/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/C1qb/Fcer1g/Ptpn6/Csf3r/Cd74/C1qa/C1qc/Vsir/Fcgr3/Nckap1l/Arg1/Unc93b1/Fcgr1/Il1b/Irf7/Slfn2/Ctsc/C3/Inpp5d/H2-K1/B2m/Il4ra"
