"","Row.names","names","sample","area","group","batch","inflammatory response","microglial cell migration"
"1","RIR1_CB","RIR1_CB","RIR1","CB","RIR","1",0.0811196901672916,0.371764906904541
"2","RIR1_Cornea&conj","RIR1_Cornea&conj","RIR1","Cornea&conj","RIR","1",0.113269253760166,-0.657771654541166
"3","RIR1_GCL","RIR1_GCL","RIR1","GCL","RIR","1",0.0531843447956768,0.723454860786118
"4","RIR1_INL","RIR1_INL","RIR1","INL","RIR","1",-0.252477148822547,-0.198391994813362
"5","RIR1_Iris","RIR1_Iris","RIR1","Iris","RIR","1",0.350649248071566,0.645088043210504
"6","RIR1_Len","RIR1_Len","RIR1","Len","RIR","1",-0.0663741150143706,0.119632659921298
"7","RIR1_Muscle","RIR1_Muscle","RIR1","Muscle","RIR","1",0.0288470997469567,-0.123793872224436
"8","RIR1_ONL","RIR1_ONL","RIR1","ONL","RIR","1",-0.379446577707942,-0.75121947962408
"9","RIR1_Optic nerve","RIR1_Optic nerve","RIR1","Optic nerve","RIR","1",0.123942356023278,0.688431481251534
"10","RIR1_RPE","RIR1_RPE","RIR1","RPE","RIR","1",0.0176312728898551,-0.1118284554623
"11","RIR2_CB","RIR2_CB","RIR2","CB","RIR","1",0.200430022407056,0.452225914470224
"12","RIR2_Cornea&conj","RIR2_Cornea&conj","RIR2","Cornea&conj","RIR","1",0.26396498394614,-0.196247123381328
"13","RIR2_GCL","RIR2_GCL","RIR2","GCL","RIR","1",0.161825967094372,0.659927336026412
"14","RIR2_INL","RIR2_INL","RIR2","INL","RIR","1",-0.187395456867023,-0.137903632441593
"15","RIR2_Iris","RIR2_Iris","RIR2","Iris","RIR","1",0.347738662600466,0.353011860057017
"16","RIR2_Len","RIR2_Len","RIR2","Len","RIR","1",-0.0282858454802135,-0.33601142269716
"17","RIR2_Muscle","RIR2_Muscle","RIR2","Muscle","RIR","1",-0.0436078371382439,-0.635762946390579
"18","RIR2_ONL","RIR2_ONL","RIR2","ONL","RIR","1",-0.328258823957852,-0.611741277342727
"19","RIR2_RPE","RIR2_RPE","RIR2","RPE","RIR","1",-0.0231739252473699,0.279378747350862
"20","RIR3_CB","RIR3_CB","RIR3","CB","RIR","2",0.170334014167459,0.209741737811912
"21","RIR3_Cornea&conj","RIR3_Cornea&conj","RIR3","Cornea&conj","RIR","2",0.320977910686159,0.315435384154693
"22","RIR3_GCL","RIR3_GCL","RIR3","GCL","RIR","2",-0.0438908572112022,0.416217408130203
"23","RIR3_INL","RIR3_INL","RIR3","INL","RIR","2",-0.32913114823124,-0.0591877219685115
"24","RIR3_Iris","RIR3_Iris","RIR3","Iris","RIR","2",0.353624929572579,0.491986679574133
"25","RIR3_Len","RIR3_Len","RIR3","Len","RIR","2",0.0654958086743258,-0.0193887585949052
"26","RIR3_Muscle","RIR3_Muscle","RIR3","Muscle","RIR","2",0.0670826236996708,-0.131663088443071
"27","RIR3_ONL","RIR3_ONL","RIR3","ONL","RIR","2",-0.348729370310218,-0.317181495227729
"28","RIR3_RPE","RIR3_RPE","RIR3","RPE","RIR","2",0.245038724787627,0.129732363973616
"29","RIR4_CB","RIR4_CB","RIR4","CB","RIR","2",0.229082698330441,0.701028114494813
"30","RIR4_Cornea&conj","RIR4_Cornea&conj","RIR4","Cornea&conj","RIR","2",0.133597115288617,-0.480315801588278
"31","RIR4_GCL","RIR4_GCL","RIR4","GCL","RIR","2",0.0481640868220404,0.67432872594981
"32","RIR4_INL","RIR4_INL","RIR4","INL","RIR","2",-0.215745607014004,0.218481820820032
"33","RIR4_Iris","RIR4_Iris","RIR4","Iris","RIR","2",0.172893744224252,0.253636521939247
"34","RIR4_Len","RIR4_Len","RIR4","Len","RIR","2",-0.0664019281400242,-0.250057074888781
"35","RIR4_Muscle","RIR4_Muscle","RIR4","Muscle","RIR","2",0.14379757121263,-0.289622604296364
"36","RIR4_ONL","RIR4_ONL","RIR4","ONL","RIR","2",-0.340859328339886,-0.626290603549441
"37","RIR4_RPE","RIR4_RPE","RIR4","RPE","RIR","2",0.182905343107601,0.484515567347954
"38","RIR5_CB","RIR5_CB","RIR5","CB","RIR","2",0.363172999008865,0.59377461367268
"39","RIR5_Cornea&conj","RIR5_Cornea&conj","RIR5","Cornea&conj","RIR","2",0.419953346081905,0.502646317015355
"40","RIR5_GCL","RIR5_GCL","RIR5","GCL","RIR","2",0.27311657147689,0.707010878421199
"41","RIR5_INL","RIR5_INL","RIR5","INL","RIR","2",-0.0748502957155453,0.513684069162605
"42","RIR5_Iris","RIR5_Iris","RIR5","Iris","RIR","2",0.437341014190105,0.729600788096409
"43","RIR5_Len","RIR5_Len","RIR5","Len","RIR","2",0.266183102896178,0.499704762168029
"44","RIR5_Muscle","RIR5_Muscle","RIR5","Muscle","RIR","2",0.115256924104276,-0.373727609756044
"45","RIR5_ONL","RIR5_ONL","RIR5","ONL","RIR","2",-0.32070427461875,-0.695731878244779
"46","RIR5_Optic nerve","RIR5_Optic nerve","RIR5","Optic nerve","RIR","2",0.214007942008997,0.507776171314763
"47","RIR5_RPE","RIR5_RPE","RIR5","RPE","RIR","2",0.302841314560343,0.508992578478568
"48","RIR6_CB","RIR6_CB","RIR6","CB","RIR","2",0.240039969034689,0.609103149364851
"49","RIR6_Cornea&conj","RIR6_Cornea&conj","RIR6","Cornea&conj","RIR","2",0.215671136827967,-0.307169257010232
"50","RIR6_GCL","RIR6_GCL","RIR6","GCL","RIR","2",0.0670768530060843,0.233629093139716
"51","RIR6_INL","RIR6_INL","RIR6","INL","RIR","2",-0.21769989938875,0.00448810905856847
"52","RIR6_Iris","RIR6_Iris","RIR6","Iris","RIR","2",0.31091881530735,0.564744309860455
"53","RIR6_Len","RIR6_Len","RIR6","Len","RIR","2",-0.0692296935403898,0.233260884815951
"54","RIR6_ONL","RIR6_ONL","RIR6","ONL","RIR","2",-0.363221297279415,-0.677673171301377
"55","RIR6_RPE","RIR6_RPE","RIR6","RPE","RIR","2",0.166477484222627,0.471374695688023
"56","Sham1_CB","Sham1_CB","Sham1","CB","Sham","1",0.0283533813092077,0.267130161995897
"57","Sham1_Cornea&conj","Sham1_Cornea&conj","Sham1","Cornea&conj","Sham","1",-0.0657768420060241,-0.429006564306349
"58","Sham1_GCL","Sham1_GCL","Sham1","GCL","Sham","1",-0.302626824291606,-0.169987839492859
"59","Sham1_INL","Sham1_INL","Sham1","INL","Sham","1",-0.382855782119385,-0.588253087855666
"60","Sham1_Iris","Sham1_Iris","Sham1","Iris","Sham","1",0.0746879176277946,0.270270831440529
"61","Sham1_Len","Sham1_Len","Sham1","Len","Sham","1",-0.244227801660383,-0.722885111430306
"62","Sham1_Muscle","Sham1_Muscle","Sham1","Muscle","Sham","1",-0.0405371244342491,-0.362114353324459
