"","Comparison","raw_p_value","genesets","area","BH_adj_p_value","signif_level"
"inflammatory response","RIR_vs_Sham",0.00103437518589079,"inflammatory response","CB",0.00206875037178158,"**"
"microglial cell migration","RIR_vs_Sham",0.00374128522745146,"microglial cell migration","CB",0.00374128522745146,"**"
"inflammatory response1","RIR_vs_Sham",0.0176115627860477,"inflammatory response","Cornea&conj",0.0352231255720955,"*"
"microglial cell migration1","RIR_vs_Sham",0.342598741739748,"microglial cell migration","Cornea&conj",0.342598741739748,"ns"
"inflammatory response2","RIR_vs_Sham",0.000273756447382692,"inflammatory response","GCL",0.000273756447382692,"***"
"microglial cell migration2","RIR_vs_Sham",5.78527081697176e-05,"microglial cell migration","GCL",0.000115705416339435,"***"
"inflammatory response3","RIR_vs_Sham",0.00436262082070272,"inflammatory response","INL",0.00436262082070272,"**"
"microglial cell migration3","RIR_vs_Sham",0.00311223054460294,"microglial cell migration","INL",0.00436262082070272,"**"
"inflammatory response4","RIR_vs_Sham",0.000122142215720605,"inflammatory response","Iris",0.00024428443144121,"***"
"microglial cell migration4","RIR_vs_Sham",0.010532901866629,"microglial cell migration","Iris",0.010532901866629,"*"
"inflammatory response5","RIR_vs_Sham",0.0125498777865982,"inflammatory response","Len",0.0250997555731964,"*"
"microglial cell migration5","RIR_vs_Sham",0.0751892352349015,"microglial cell migration","Len",0.0751892352349015,"ns"
"inflammatory response6","RIR_vs_Sham",0.874447698699734,"inflammatory response","Muscle",0.874447698699734,"ns"
"microglial cell migration6","RIR_vs_Sham",0.197949994502904,"microglial cell migration","Muscle",0.395899989005807,"ns"
"inflammatory response7","RIR_vs_Sham",0.0351859804539765,"inflammatory response","ONL",0.0703719609079529,"ns"
"microglial cell migration7","RIR_vs_Sham",0.383503420044216,"microglial cell migration","ONL",0.383503420044216,"ns"
"inflammatory response8","RIR_vs_Sham",NA,"inflammatory response","Optic nerve",NA,"ns"
"microglial cell migration8","RIR_vs_Sham",NA,"microglial cell migration","Optic nerve",NA,"ns"
"inflammatory response9","RIR_vs_Sham",0.55354759553412,"inflammatory response","RPE",0.55354759553412,"ns"
"microglial cell migration9","RIR_vs_Sham",0.443604860834533,"microglial cell migration","RPE",0.55354759553412,"ns"
