	celltype	mean	sd_value	se_value	mean_deviation	ci_lower	ci_upper	iqr_value	q1	q3
1	AC	-0.04657431	0.065018433	0.002056063	0.051340007	-0.05060412	-0.042544499	0.085299488	-0.093326493	-0.008027005
2	RGC	-0.031736793	0.052030886	0.001645361	0.04110568	-0.034961641	-0.028511944	0.06745413	-0.068468933	-0.001014803
3	CBC	-0.061460951	0.048389316	0.001530205	0.038927933	-0.064460097	-0.058461805	0.067216802	-0.094908536	-0.027691734
4	RBC	-0.06301032	0.045628389	0.001442896	0.036069601	-0.065838345	-0.060182295	0.059681167	-0.094913288	-0.035232121
5	Macroglia	-0.015167022	0.045424439	0.001436447	0.03618931	-0.017982406	-0.012351638	0.060058261	-0.045686367	0.014371894
6	Astrocytes	0.006479003	0.054065664	0.001208945	0.043113845	0.004109515	0.008848492	0.0718449	-0.031606356	0.040238544
7	Rod	-0.064559175	0.045245658	0.001430793	0.035698117	-0.067363479	-0.061754872	0.058381044	-0.096036495	-0.037655452
8	HC	-0.030783546	0.050332986	0.005699088	0.038459988	-0.041953554	-0.019613538	0.06008733	-0.065203132	-0.005115801
9	VEC	-0.018289878	0.046734351	0.00147787	0.036594568	-0.02118645	-0.015393306	0.058237238	-0.047618022	0.010619216
10	Cone	-0.061026586	0.047714574	0.001508867	0.037625614	-0.063983911	-0.05806926	0.063957032	-0.095742692	-0.03178566
11	T cell	-0.012086829	0.06920743	0.002188531	0.057813317	-0.016376271	-0.007797387	0.105943359	-0.066976889	0.038966471
12	B cell	-0.028402964	0.053862561	0.002000405	0.04329964	-0.032323687	-0.024482242	0.073427472	-0.067474442	0.005953029
13	Neutrophil	0.011294662	0.063562014	0.002010007	0.052414635	0.00735512	0.015234204	0.093879898	-0.037299471	0.056580427
14	DC&Monocyte	0.03935226	0.055805453	0.001764723	0.044344269	0.035893466	0.042811055	0.073339803	0.004409916	0.077749719
15	Microglia	0.089367493	0.062251013	0.001391975	0.048817953	0.086639272	0.092095713	0.079299151	0.051003056	0.130302207
