"","pathway","gene"
"reactome glycosphingolipid metabolism1","reactome glycosphingolipid metabolism","Arsa"
"reactome glycosphingolipid metabolism2","reactome glycosphingolipid metabolism","Arsb"
"reactome glycosphingolipid metabolism3","reactome glycosphingolipid metabolism","Arsg"
"reactome glycosphingolipid metabolism4","reactome glycosphingolipid metabolism","Arsi"
"reactome glycosphingolipid metabolism5","reactome glycosphingolipid metabolism","Arsj"
"reactome glycosphingolipid metabolism6","reactome glycosphingolipid metabolism","Arsk"
"reactome glycosphingolipid metabolism7","reactome glycosphingolipid metabolism","Asah1"
"reactome glycosphingolipid metabolism8","reactome glycosphingolipid metabolism","Asah2"
"reactome glycosphingolipid metabolism9","reactome glycosphingolipid metabolism","B3galnt1"
"reactome glycosphingolipid metabolism10","reactome glycosphingolipid metabolism","B4galnt1"
"reactome glycosphingolipid metabolism11","reactome glycosphingolipid metabolism","Cerk"
"reactome glycosphingolipid metabolism12","reactome glycosphingolipid metabolism","Cptp"
"reactome glycosphingolipid metabolism13","reactome glycosphingolipid metabolism","Ctsa"
"reactome glycosphingolipid metabolism14","reactome glycosphingolipid metabolism","Enpp7"
"reactome glycosphingolipid metabolism15","reactome glycosphingolipid metabolism","Esyt1"
"reactome glycosphingolipid metabolism16","reactome glycosphingolipid metabolism","Esyt2"
"reactome glycosphingolipid metabolism17","reactome glycosphingolipid metabolism","Esyt3"
"reactome glycosphingolipid metabolism18","reactome glycosphingolipid metabolism","Galc"
"reactome glycosphingolipid metabolism19","reactome glycosphingolipid metabolism","Gba"
"reactome glycosphingolipid metabolism20","reactome glycosphingolipid metabolism","Gba2"
"reactome glycosphingolipid metabolism21","reactome glycosphingolipid metabolism","Gla"
"reactome glycosphingolipid metabolism22","reactome glycosphingolipid metabolism","Glb1"
"reactome glycosphingolipid metabolism23","reactome glycosphingolipid metabolism","Glb1l"
"reactome glycosphingolipid metabolism24","reactome glycosphingolipid metabolism","Gltp"
"reactome glycosphingolipid metabolism25","reactome glycosphingolipid metabolism","Gm2a"
"reactome glycosphingolipid metabolism26","reactome glycosphingolipid metabolism","Hexa"
"reactome glycosphingolipid metabolism27","reactome glycosphingolipid metabolism","Hexb"
"reactome glycosphingolipid metabolism28","reactome glycosphingolipid metabolism","Neu1"
"reactome glycosphingolipid metabolism29","reactome glycosphingolipid metabolism","Neu2"
"reactome glycosphingolipid metabolism30","reactome glycosphingolipid metabolism","Neu3"
"reactome glycosphingolipid metabolism31","reactome glycosphingolipid metabolism","Neu4"
"reactome glycosphingolipid metabolism32","reactome glycosphingolipid metabolism","Psap"
"reactome glycosphingolipid metabolism33","reactome glycosphingolipid metabolism","Smpd1"
"reactome glycosphingolipid metabolism34","reactome glycosphingolipid metabolism","Smpd2"
"reactome glycosphingolipid metabolism35","reactome glycosphingolipid metabolism","Smpd3"
"reactome glycosphingolipid metabolism36","reactome glycosphingolipid metabolism","Smpd4"
"reactome glycosphingolipid metabolism37","reactome glycosphingolipid metabolism","Sumf1"
"reactome glycosphingolipid metabolism38","reactome glycosphingolipid metabolism","Sumf2"
"reactome glycosphingolipid metabolism39","reactome glycosphingolipid metabolism","Ugcg"
"reactome glycosphingolipid metabolism40","reactome glycosphingolipid metabolism","Ugt8a"
"reactome sphingolipid metabolism1","reactome sphingolipid metabolism","Acer1"
"reactome sphingolipid metabolism2","reactome sphingolipid metabolism","Acer2"
"reactome sphingolipid metabolism3","reactome sphingolipid metabolism","Acer3"
"reactome sphingolipid metabolism4","reactome sphingolipid metabolism","Aldh3a2"
"reactome sphingolipid metabolism5","reactome sphingolipid metabolism","Aldh3b1"
"reactome sphingolipid metabolism6","reactome sphingolipid metabolism","Aldh3b3"
"reactome sphingolipid metabolism7","reactome sphingolipid metabolism","Arsa"
"reactome sphingolipid metabolism8","reactome sphingolipid metabolism","Arsb"
"reactome sphingolipid metabolism9","reactome sphingolipid metabolism","Arsg"
"reactome sphingolipid metabolism10","reactome sphingolipid metabolism","Arsi"
"reactome sphingolipid metabolism11","reactome sphingolipid metabolism","Arsj"
"reactome sphingolipid metabolism12","reactome sphingolipid metabolism","Arsk"
"reactome sphingolipid metabolism13","reactome sphingolipid metabolism","Asah1"
"reactome sphingolipid metabolism14","reactome sphingolipid metabolism","Asah2"
"reactome sphingolipid metabolism15","reactome sphingolipid metabolism","B3galnt1"
"reactome sphingolipid metabolism16","reactome sphingolipid metabolism","B4galnt1"
"reactome sphingolipid metabolism17","reactome sphingolipid metabolism","Cerk"
"reactome sphingolipid metabolism18","reactome sphingolipid metabolism","Cers1"
"reactome sphingolipid metabolism19","reactome sphingolipid metabolism","Cers2"
"reactome sphingolipid metabolism20","reactome sphingolipid metabolism","Cers3"
"reactome sphingolipid metabolism21","reactome sphingolipid metabolism","Cers4"
"reactome sphingolipid metabolism22","reactome sphingolipid metabolism","Cers5"
"reactome sphingolipid metabolism23","reactome sphingolipid metabolism","Cers6"
"reactome sphingolipid metabolism24","reactome sphingolipid metabolism","Cert1"
"reactome sphingolipid metabolism25","reactome sphingolipid metabolism","Cptp"
"reactome sphingolipid metabolism26","reactome sphingolipid metabolism","Csnk1g2"
"reactome sphingolipid metabolism27","reactome sphingolipid metabolism","Ctsa"
"reactome sphingolipid metabolism28","reactome sphingolipid metabolism","Degs1"
"reactome sphingolipid metabolism29","reactome sphingolipid metabolism","Degs2"
"reactome sphingolipid metabolism30","reactome sphingolipid metabolism","Enpp7"
"reactome sphingolipid metabolism31","reactome sphingolipid metabolism","Esyt1"
"reactome sphingolipid metabolism32","reactome sphingolipid metabolism","Esyt2"
"reactome sphingolipid metabolism33","reactome sphingolipid metabolism","Esyt3"
"reactome sphingolipid metabolism34","reactome sphingolipid metabolism","Fa2h"
"reactome sphingolipid metabolism35","reactome sphingolipid metabolism","Galc"
"reactome sphingolipid metabolism36","reactome sphingolipid metabolism","Gba"
"reactome sphingolipid metabolism37","reactome sphingolipid metabolism","Gba2"
"reactome sphingolipid metabolism38","reactome sphingolipid metabolism","Gla"
"reactome sphingolipid metabolism39","reactome sphingolipid metabolism","Glb1"
"reactome sphingolipid metabolism40","reactome sphingolipid metabolism","Glb1l"
"reactome sphingolipid metabolism41","reactome sphingolipid metabolism","Gltp"
"reactome sphingolipid metabolism42","reactome sphingolipid metabolism","Gm2a"
"reactome sphingolipid metabolism43","reactome sphingolipid metabolism","Hexa"
"reactome sphingolipid metabolism44","reactome sphingolipid metabolism","Hexb"
"reactome sphingolipid metabolism45","reactome sphingolipid metabolism","Kdsr"
"reactome sphingolipid metabolism46","reactome sphingolipid metabolism","Neu1"
"reactome sphingolipid metabolism47","reactome sphingolipid metabolism","Neu2"
"reactome sphingolipid metabolism48","reactome sphingolipid metabolism","Neu3"
"reactome sphingolipid metabolism49","reactome sphingolipid metabolism","Neu4"
"reactome sphingolipid metabolism50","reactome sphingolipid metabolism","Ormdl1"
"reactome sphingolipid metabolism51","reactome sphingolipid metabolism","Ormdl2"
"reactome sphingolipid metabolism52","reactome sphingolipid metabolism","Ormdl3"
"reactome sphingolipid metabolism53","reactome sphingolipid metabolism","Osbp"
"reactome sphingolipid metabolism54","reactome sphingolipid metabolism","Plpp1"
"reactome sphingolipid metabolism55","reactome sphingolipid metabolism","Plpp2"
"reactome sphingolipid metabolism56","reactome sphingolipid metabolism","Plpp3"
"reactome sphingolipid metabolism57","reactome sphingolipid metabolism","Ppm1l"
"reactome sphingolipid metabolism58","reactome sphingolipid metabolism","Prkd1"
"reactome sphingolipid metabolism59","reactome sphingolipid metabolism","Prkd2"
"reactome sphingolipid metabolism60","reactome sphingolipid metabolism","Prkd3"
"reactome sphingolipid metabolism61","reactome sphingolipid metabolism","Psap"
"reactome sphingolipid metabolism62","reactome sphingolipid metabolism","Samd8"
"reactome sphingolipid metabolism63","reactome sphingolipid metabolism","Sgms1"
"reactome sphingolipid metabolism64","reactome sphingolipid metabolism","Sgms2"
"reactome sphingolipid metabolism65","reactome sphingolipid metabolism","Sgpl1"
"reactome sphingolipid metabolism66","reactome sphingolipid metabolism","Sgpp1"
"reactome sphingolipid metabolism67","reactome sphingolipid metabolism","Sgpp2"
"reactome sphingolipid metabolism68","reactome sphingolipid metabolism","Smpd1"
"reactome sphingolipid metabolism69","reactome sphingolipid metabolism","Smpd2"
"reactome sphingolipid metabolism70","reactome sphingolipid metabolism","Smpd3"
"reactome sphingolipid metabolism71","reactome sphingolipid metabolism","Smpd4"
"reactome sphingolipid metabolism72","reactome sphingolipid metabolism","Sphk1"
"reactome sphingolipid metabolism73","reactome sphingolipid metabolism","Sphk2"
"reactome sphingolipid metabolism74","reactome sphingolipid metabolism","Spns2"
"reactome sphingolipid metabolism75","reactome sphingolipid metabolism","Sptlc1"
"reactome sphingolipid metabolism76","reactome sphingolipid metabolism","Sptlc2"
"reactome sphingolipid metabolism77","reactome sphingolipid metabolism","Sptlc3"
"reactome sphingolipid metabolism78","reactome sphingolipid metabolism","Sptssa"
"reactome sphingolipid metabolism79","reactome sphingolipid metabolism","Sptssb"
"reactome sphingolipid metabolism80","reactome sphingolipid metabolism","Sumf1"
"reactome sphingolipid metabolism81","reactome sphingolipid metabolism","Sumf2"
"reactome sphingolipid metabolism82","reactome sphingolipid metabolism","Ugcg"
"reactome sphingolipid metabolism83","reactome sphingolipid metabolism","Ugt8a"
"reactome sphingolipid metabolism84","reactome sphingolipid metabolism","Vapa"
"reactome sphingolipid metabolism85","reactome sphingolipid metabolism","Vapb"
"sphingolipid metabolism1","sphingolipid metabolism","Acer1"
"sphingolipid metabolism2","sphingolipid metabolism","Acer2"
"sphingolipid metabolism3","sphingolipid metabolism","Acer3"
