	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Gm42418	1.05E-304	0.469318766	0.995	0.994	2.56E-300	RIR	Gm42418
Clu	1.93E-202	1.703119307	0.358	0.177	4.69E-198	RIR	Clu
Lypd2	5.27E-165	-1.391511694	0.318	0.463	1.29E-160	RIR	Lypd2
Lyz2	3.05E-161	2.292408663	0.222	0.088	7.44E-157	RIR	Lyz2
Dapl1	1.64E-152	-1.921070496	0.15	0.28	4.01E-148	RIR	Dapl1
H2-K1	1.05E-140	1.306566917	0.252	0.116	2.57E-136	RIR	H2-K1
Cmss1	4.32E-135	0.414200403	0.85	0.8	1.05E-130	RIR	Cmss1
Gsta4	1.31E-130	-0.769495391	0.516	0.636	3.20E-126	RIR	Gsta4
B2m	2.53E-128	1.49116959	0.212	0.09	6.17E-124	RIR	B2m
Mmp3	2.14E-114	2.412542002	0.134	0.042	5.22E-110	RIR	Mmp3
Tmsb4x	8.70E-112	-0.308793418	0.884	0.919	2.12E-107	RIR	Tmsb4x
Krt5	5.10E-102	-0.517554383	0.599	0.708	1.24E-97	RIR	Krt5
Ctss	8.51E-102	2.361503441	0.114	0.034	2.07E-97	RIR	Ctss
Aldh3a1	3.10E-99	-0.769535896	0.559	0.653	7.56E-95	RIR	Aldh3a1
Krt12	7.99E-99	-0.630759373	0.686	0.732	1.95E-94	RIR	Krt12
Krt14	8.09E-99	1.445020387	0.291	0.172	1.97E-94	RIR	Krt14
Gphn	2.47E-92	0.566475196	0.878	0.822	6.02E-88	RIR	Gphn
Il31ra	3.01E-92	0.546324102	0.818	0.747	7.33E-88	RIR	Il31ra
Gm19951	3.35E-91	0.477822183	0.783	0.711	8.16E-87	RIR	Gm19951
Lars2	5.20E-90	0.464278032	0.923	0.887	1.27E-85	RIR	Lars2
Slurp1	2.48E-89	-0.798763969	0.298	0.406	6.04E-85	RIR	Slurp1
Saa3	4.09E-82	3.420971265	0.101	0.033	9.97E-78	RIR	Saa3
Camk1d	9.61E-81	0.535152461	0.838	0.765	2.34E-76	RIR	Camk1d
Krt16	4.81E-80	3.097407561	0.075	0.017	1.17E-75	RIR	Krt16
Chil1	1.05E-77	2.507015711	0.074	0.017	2.55E-73	RIR	Chil1
Il1b	2.41E-73	4.533280154	0.046	0.004	5.87E-69	RIR	Il1b
AY036118	3.88E-72	0.283764429	0.911	0.878	9.45E-68	RIR	AY036118
Calml3	4.27E-72	-0.375406764	0.628	0.708	1.04E-67	RIR	Calml3
Serpina3n	2.95E-68	1.553087214	0.127	0.056	7.19E-64	RIR	Serpina3n
Ctsb	3.22E-68	0.954219512	0.243	0.149	7.85E-64	RIR	Ctsb
Ctsl	5.61E-66	0.605543824	0.328	0.22	1.37E-61	RIR	Ctsl
Fam25c	2.04E-63	-1.894817501	0.043	0.099	4.97E-59	RIR	Fam25c
