	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0006935	BP	GO:0006935	chemotaxis	54/364	481/28928	0.112266112	8.922071691	19.7781628	5.80E-35	1.40E-31	8.40E-32	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Dock2/Vav1/S100a9/Arrb2/S100a4/Lyn/Ptafr/Pik3cd/Nckap1l/Trem2/Efna5/Vcam1/P2rx4/Pla2g7/Sema4d/Prex1/Syk/Cmtm3/Ptprj/Smoc2/Ntf3/Cmklr1/Rin3/Lsp1	54	up
GO:0042330	BP	GO:0042330	taxis	54/364	483/28928	0.111801242	8.885127295	19.72750593	7.20E-35	1.40E-31	8.40E-32	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Dock2/Vav1/S100a9/Arrb2/S100a4/Lyn/Ptafr/Pik3cd/Nckap1l/Trem2/Efna5/Vcam1/P2rx4/Pla2g7/Sema4d/Prex1/Syk/Cmtm3/Ptprj/Smoc2/Ntf3/Cmklr1/Rin3/Lsp1	54	up
GO:0050900	BP	GO:0050900	leukocyte migration	50/364	409/28928	0.122249389	9.715467906	20.03909448	3.48E-34	4.52E-31	2.71E-31	Camk1d/Il1b/Apod/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Fcgr3/S100a8/Itga6/Msn/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Lyn/Ptafr/Sirpa/Nckap1l/Myo1f/Trem2/Icam1/Ecm1/Vcam1/P2rx4/Pla2g7/Tlr2/Prex1/Syk/Ptprj/Cmklr1/Rin3	50	up
GO:0002697	BP	GO:0002697	regulation of immune effector process	53/364	487/28928	0.108829569	8.648960895	19.21707865	1.25E-33	1.22E-30	7.28E-31	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Cd74/Laptm5/Ccr2/Fcgr3/Arg1/Grn/Ptprc/Itgam/Tyrobp/Ccl2/Pf4/Itgb2/Fcgr2b/Cxcl5/Lgals1/Fcgr1/Cfp/Tnfrsf1b/Bst2/Irf1/Fgr/Lilrb4a/H2-Q7/Rsad2/Il4ra/C3/Vsir/H2-DMb1/Vav1/Tap1/S100a9/Arrb2/Lyn/Ncf1/Ptafr/Ddx60/Masp1/Nckap1l/Clec2d/Litaf/Trem2/Il13ra1/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptpn6	53	up
GO:0097529	BP	GO:0097529	myeloid leukocyte migration	41/364	256/28928	0.16015625	12.72802198	21.27691395	6.33E-33	4.94E-30	2.95E-30	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Ccl8/Ccl7/Vav1/S100a9/Lyn/Sirpa/Nckap1l/Myo1f/Trem2/P2rx4/Pla2g7/Tlr2/Prex1/Syk/Ptprj/Cmklr1/Rin3	41	up
GO:0060326	BP	GO:0060326	cell chemotaxis	44/364	337/28928	0.130563798	10.37623504	19.54436842	2.25E-31	1.46E-28	8.75E-29	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Arrb2/Lyn/Nckap1l/Vcam1/P2rx4/Pla2g7/Prex1/Syk/Ptprj/Smoc2/Cmklr1/Rin3	44	up
GO:0030595	BP	GO:0030595	leukocyte chemotaxis	37/364	243/28928	0.152263374	12.10075521	19.6164815	5.74E-29	3.20E-26	1.91E-26	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Lyn/Nckap1l/Pla2g7/Prex1/Syk/Ptprj/Cmklr1/Rin3	37	up
GO:0019882	BP	GO:0019882	antigen processing and presentation	30/364	138/28928	0.217391304	17.27663641	21.63596401	1.71E-28	8.33E-26	4.98E-26	H2-K1/B2m/Ctss/Ctsl/H2-D1/Fcer1g/Cd74/Mpeg1/H2-Ab1/Lgmn/Fcgr3/Psmb8/H2-Aa/H2-Eb1/Psap/Thbs1/Fcgr2b/Fcgr1/H2-Q7/Clec4a2/H2-DMb1/Unc93b1/Tap1/Clec4a3/Cd68/Trem2/Icam1/Rab8b/Psmb9/Trex1	30	up
GO:0032680	BP	GO:0032680	regulation of tumor necrosis factor production	34/364	199/28928	0.170854271	13.57822077	20.0991816	2.00E-28	8.66E-26	5.18E-26	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
GO:1903555	BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	34/364	202/28928	0.168316832	13.37656403	19.92650246	3.37E-28	1.31E-25	7.86E-26	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
