	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ptgds	3.32E-127	-1.354130862	0.46	0.72	8.10E-123	RIR	Ptgds
Lyz2	2.59E-121	3.823771628	0.365	0.07	6.32E-117	RIR	Lyz2
Gm42418	1.41E-114	0.422474404	0.993	0.995	3.43E-110	RIR	Gm42418
Cmss1	6.23E-92	0.958139158	0.773	0.608	1.52E-87	RIR	Cmss1
Dct	1.39E-76	-1.033518256	0.483	0.666	3.40E-72	RIR	Dct
Serpina3n	3.18E-76	1.934098427	0.389	0.153	7.74E-72	RIR	Serpina3n
Ctsb	1.54E-67	1.430026706	0.457	0.221	3.76E-63	RIR	Ctsb
Penk	3.56E-67	-2.119432975	0.116	0.284	8.69E-63	RIR	Penk
Ctss	1.27E-64	3.155090621	0.225	0.045	3.11E-60	RIR	Ctss
Il31ra	5.49E-63	0.756731822	0.835	0.665	1.34E-58	RIR	Il31ra
Actb	8.07E-63	0.989101241	0.688	0.491	1.97E-58	RIR	Actb
Lars2	1.92E-59	0.586550829	0.911	0.828	4.69E-55	RIR	Lars2
Gm19951	1.04E-58	0.772135763	0.725	0.555	2.54E-54	RIR	Gm19951
Spp1	3.73E-52	3.215461446	0.229	0.066	9.10E-48	RIR	Spp1
Saa3	1.64E-51	6.140114104	0.159	0.021	4.01E-47	RIR	Saa3
C3	5.69E-51	5.212757661	0.145	0.013	1.39E-46	RIR	C3
Arpc1b	3.26E-50	1.340574978	0.307	0.127	7.94E-46	RIR	Arpc1b
H2-K1	1.58E-49	2.130164654	0.228	0.068	3.86E-45	RIR	H2-K1
mt-Cytb	1.01E-47	-0.583878289	0.689	0.75	2.47E-43	RIR	mt-Cytb
Ctsd	4.85E-47	1.229151843	0.566	0.382	1.18E-42	RIR	Ctsd
Mgll	3.97E-45	-1.268483648	0.237	0.39	9.68E-41	RIR	Mgll
mt-Nd4	3.78E-43	-0.678692115	0.642	0.71	9.22E-39	RIR	mt-Nd4
Pmel	2.23E-42	-1.76399328	0.18	0.322	5.44E-38	RIR	Pmel
Kpna1	3.57E-42	0.784773087	0.507	0.324	8.69E-38	RIR	Kpna1
Ccl6	4.04E-41	6.088850167	0.108	0.005	9.84E-37	RIR	Ccl6
mt-Nd1	4.91E-41	-0.578295965	0.627	0.706	1.20E-36	RIR	mt-Nd1
Dkk3	1.71E-40	-1.002749902	0.363	0.507	4.18E-36	RIR	Dkk3
Atp1a2	4.96E-40	-1.096742133	0.267	0.417	1.21E-35	RIR	Atp1a2
Cfb	5.03E-40	3.703159548	0.112	0.008	1.23E-35	RIR	Cfb
Cox8b	3.96E-38	-1.947110683	0.074	0.182	9.66E-34	RIR	Cox8b
Tgfbi	3.87E-37	2.589870334	0.138	0.027	9.43E-33	RIR	Tgfbi
C1qa	4.23E-37	2.503485253	0.156	0.039	1.03E-32	RIR	C1qa
S100a6	1.24E-36	0.750070546	0.483	0.309	3.03E-32	RIR	S100a6
Cd52	2.20E-36	3.945075086	0.11	0.012	5.36E-32	RIR	Cd52
AY036118	2.25E-36	0.390136377	0.857	0.795	5.49E-32	RIR	AY036118
Fn1	2.60E-36	3.67739918	0.119	0.016	6.34E-32	RIR	Fn1
H2-D1	8.29E-36	1.488875417	0.169	0.048	2.02E-31	RIR	H2-D1
Gm48099	1.09E-35	1.229885841	0.334	0.177	2.65E-31	RIR	Gm48099
Gphn	8.28E-35	0.528091752	0.872	0.775	2.02E-30	RIR	Gphn
Cotl1	8.37E-35	1.67059277	0.194	0.069	2.04E-30	RIR	Cotl1
Lgmn	1.00E-34	1.878468862	0.156	0.042	2.44E-30	RIR	Lgmn
Tmem56	1.02E-34	0.855941104	0.407	0.25	2.50E-30	RIR	Tmem56
Mpeg1	1.50E-34	3.976982035	0.104	0.011	3.66E-30	RIR	Mpeg1
Peak1	1.63E-34	0.710435127	0.556	0.395	3.97E-30	RIR	Peak1
Chil1	2.58E-34	2.264855674	0.134	0.028	6.29E-30	RIR	Chil1
Ppp1r1a	2.72E-33	-1.475229753	0.057	0.148	6.63E-29	RIR	Ppp1r1a
Slc2a1	2.90E-33	-0.970703264	0.212	0.342	7.07E-29	RIR	Slc2a1
Col3a1	4.22E-33	1.082669127	0.171	0.053	1.03E-28	RIR	Col3a1
Ctsz	6.30E-33	1.452839409	0.192	0.07	1.54E-28	RIR	Ctsz
Fcer1g	5.25E-32	3.07441147	0.104	0.014	1.28E-27	RIR	Fcer1g
Lcn2	3.03E-31	4.957643055	0.08	0.002	7.39E-27	RIR	Lcn2
Hbb-bs	3.35E-31	-3.7404215	0.039	0.114	8.17E-27	RIR	Hbb-bs
Vim	3.35E-30	0.783452706	0.403	0.253	8.18E-26	RIR	Vim
Psap	3.83E-30	0.90799074	0.399	0.245	9.33E-26	RIR	Psap
Camk1d	7.17E-30	0.570660784	0.842	0.703	1.75E-25	RIR	Camk1d
C4b	1.03E-29	0.96009925	0.246	0.112	2.52E-25	RIR	C4b
Grn	1.16E-29	1.252634788	0.208	0.088	2.83E-25	RIR	Grn
Cybb	4.14E-29	2.860848706	0.089	0.009	1.01E-24	RIR	Cybb
Itgam	1.05E-28	4.544404955	0.078	0.004	2.56E-24	RIR	Itgam
Id3	1.66E-28	-1.436246991	0.149	0.257	4.05E-24	RIR	Id3
