	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0050900	GO:0050900	leukocyte migration	54/303	409/28928	0.13202934	12.60509816	24.31888114	4.85E-43	1.89E-39	1.03E-39	Spp1/Ccl6/Lgmn/Fcer1g/Itgam/Grem1/Msn/Mmp14/Coro1a/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/Vcam1/S100a9/Sirpa/Ccr2/Ecm1/S100a8/Itgb2/P2rx4/Nckap1l/Prex1/Ptafr/Csf3r/Wnt5a/Adam17/Cmklr1/Ccl8/Trem2/Syk/Gpsm3/Vav1/Cxcl16/Myd88/Tlr2/Myo1f/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Mmp9/Fpr2	54	up
GO:0097529	GO:0097529	myeloid leukocyte migration	43/303	256/28928	0.16796875	16.03630363	24.86178692	7.05E-39	1.38E-35	7.52E-36	Spp1/Ccl6/Lgmn/Fcer1g/Itgam/Grem1/Mmp14/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/S100a9/Sirpa/Ccr2/S100a8/Itgb2/P2rx4/Nckap1l/Prex1/Csf3r/Cmklr1/Ccl8/Trem2/Syk/Vav1/Myd88/Tlr2/Myo1f/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Mmp9/Fpr2	43	up
GO:0060326	GO:0060326	cell chemotaxis	46/303	337/28928	0.136498516	13.03177914	22.85758763	2.51E-37	3.26E-34	1.78E-34	Spp1/Saa3/Ccl6/Lgmn/Fcer1g/Itgam/Grem1/Coro1a/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/Vcam1/Ccr5/S100a9/Ccr2/S100a8/Itgb2/P2rx4/Nckap1l/Arrb2/Prex1/Csf3r/Wnt5a/Adam17/Cmklr1/Ccl8/Syk/Gpsm3/Vav1/Cxcl16/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Mmp9/Fpr2	46	up
GO:0030595	GO:0030595	leukocyte chemotaxis	41/303	243/28928	0.16872428	16.10843553	24.33298957	3.58E-37	3.50E-34	1.91E-34	Spp1/Ccl6/Lgmn/Fcer1g/Itgam/Grem1/Coro1a/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/S100a9/Ccr2/S100a8/Itgb2/Nckap1l/Prex1/Csf3r/Wnt5a/Adam17/Cmklr1/Ccl8/Syk/Gpsm3/Vav1/Cxcl16/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Mmp9/Fpr2	41	up
GO:0006935	GO:0006935	chemotaxis	52/303	481/28928	0.108108108	10.32129159	21.20951121	5.81E-37	4.53E-34	2.48E-34	Spp1/Saa3/Ccl6/Fn1/Lgmn/Fcer1g/Itgam/Grem1/Coro1a/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/Vcam1/Ccr5/S100a9/Ccr2/S100a8/Itgb2/S100a4/P2rx4/Nckap1l/Arrb2/Prex1/Ptafr/Csf3r/Wnt5a/Dock2/Adam17/Cmklr1/Ccl8/Trem2/Syk/Gpsm3/Vav1/Cxcl16/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Mmp9/Fpr2/Fpr1	52	up
GO:0042330	GO:0042330	taxis	52/303	483/28928	0.107660455	10.27855332	21.15685592	7.17E-37	4.66E-34	2.55E-34	Spp1/Saa3/Ccl6/Fn1/Lgmn/Fcer1g/Itgam/Grem1/Coro1a/Fcgr3/Pf4/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/Vcam1/Ccr5/S100a9/Ccr2/S100a8/Itgb2/S100a4/P2rx4/Nckap1l/Arrb2/Prex1/Ptafr/Csf3r/Wnt5a/Dock2/Adam17/Cmklr1/Ccl8/Trem2/Syk/Gpsm3/Vav1/Cxcl16/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Mmp9/Fpr2/Fpr1	52	up
GO:0006909	GO:0006909	phagocytosis	38/303	241/28928	0.157676349	15.05366802	22.54010368	2.45E-33	1.37E-30	7.47E-31	C3/Fcer1g/Itgam/Tyrobp/Coro1a/Fcgr3/Myh9/Aif1/Msr1/Ptprc/Thbs1/Cyba/Ccl2/Cfp/Sirpa/Fcgr2b/Fcgr1/Ccr2/Abca1/Itgb2/Nckap1l/Pld4/Pros1/Tgm2/Dock2/Hck/Cd300lf/Ncf2/Trem2/Syk/Fgr/Vav1/Irf8/Myd88/Tlr2/P2ry6/Fpr2/Cdc42se1	38	up
GO:0002697	GO:0002697	regulation of immune effector process	48/303	487/28928	0.098562628	9.409966048	19.25690803	2.98E-32	1.45E-29	7.94E-30	C3/H2-K1/H2-D1/Fcer1g/Grn/Itgam/Laptm5/Tyrobp/Lgals1/Fcgr3/Pf4/Arg1/Il1b/Ptprc/Lgals3/Ccl2/Cfp/S100a9/Fcgr2b/Fcgr1/Ccr2/Lilrb4a/Itgb2/Ptpn6/Nckap1l/Arrb2/Ptafr/Irf5/Wnt5a/Ncf1/Litaf/Rsad2/H2-Q7/Cd84/Pnp/Arid5a/Stx7/Trem2/Syk/Vsir/Sash3/Fgr/Vav1/Hmox1/Myd88/Tlr2/Spi1/Il13ra1	48	up
GO:0002687	GO:0002687	positive regulation of leukocyte migration	32/303	180/28928	0.177777778	16.97279061	22.1163522	6.33E-30	2.74E-27	1.50E-27	Lgmn/Mmp14/Coro1a/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Lgals3/Ccl2/Ccr2/P2rx4/Nckap1l/Ptafr/Wnt5a/Adam17/Cmklr1/Trem2/Gpsm3/Tlr2/Myo1f/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Mmp9/Fpr2	32	up
GO:0002685	GO:0002685	regulation of leukocyte migration	36/303	257/28928	0.140077821	13.37350233	20.49925369	9.86E-30	3.85E-27	2.10E-27	Lgmn/Grem1/Msn/Mmp14/Coro1a/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Lgals3/Ccl2/Ccr2/Ecm1/P2rx4/Nckap1l/Ptafr/Wnt5a/Adam17/Cmklr1/Trem2/Gpsm3/Myd88/Tlr2/Myo1f/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Mmp9/Fpr2	36	up
GO:0002274	GO:0002274	myeloid leukocyte activation	37/303	279/28928	0.132616487	12.66115429	20.13674052	1.18E-29	4.20E-27	2.29E-27	C1qa/Fn1/Fcer1g/Grn/Itgam/Ctsc/Tyrobp/Fcgr3/Aif1/Pirb/Thbs1/Csf1r/Ccr2/Clec4d/Sbno2/Lilrb4a/Itgb2/Ptpn6/Ptafr/Fcgr4/Wnt5a/Dock2/Cd300lf/Cd84/Lcp2/Ifngr1/Trem2/Syk/Fgr/Cbl/Hmox1/Myd88/Tlr2/Myo1f/Spi1/Ccl5/Rbpj	37	up
