Samples,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
M001_L-Tryptophan,32.414,19.46,20.774,37.602,34.51,35.078,45.483,30.052,35.588,18.473,41.07,39.506,19.377,28.466,18.73,27.9,27.975,21.588,40.543,47.188,29.364,32.876,23.626,24.542,37.188,23.666,31.386,29.817,28.672
M002_L-Kynurenine,0.573,1.366,0.886,1.278,1,0.435,0.783,0.538,0.735,0.512,0.478,0.434,0.907,0.626,0.809,0.811,0.788,0.436,0.376,1.127,0.733,0.354,0.772,0.554,1.021,0.572,0.58,0.243,0.502
M003_Serotonin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0
M004_5-Hydroxyindoleacetic acid,0.006,0.01,0.009,0.005,0.006,0.005,0.017,0.003,0.005,0.01,0.006,0.002,0.005,0.001,0.004,0.011,0.013,0.005,0.01,0.003,0.002,0.009,0.045,0.011,0.005,0.013,0.002,0.005,0.004
M005_Kynurenic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M008_Succinic acid,2.764,3.043,2.783,1.486,2.096,2.033,3.717,2.19,1.23,2.212,1.296,2.446,3.184,2.494,0.77,1.386,2.54,1.845,4.824,2.574,2.384,6.214,2.552,2.152,1.546,2.588,2.93,2.065,4.506
M009_Fumaric acid,0.977,0.983,0.924,0,1.032,0.729,0.977,0,0.834,1.163,1.051,0,0.33,1.018,0.931,12.236,0.966,1.131,1.017,0.656,0.679,1.298,1.24,1.269,0.972,0.72,0.631,0.909,0.874
M012_L-Malic acid,1.927,2.284,2.958,2.334,1.846,3.105,1.223,1.022,1.875,1.965,1.16,1.882,1.486,1.437,0.976,2.825,1.19,1.298,3.329,1.775,1.138,2.584,2.934,1.724,2.5,1.058,1.812,1.238,1.842
M013_Succinyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M015_Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M016_2-ketoglutaric acid,2.486,3.811,1.702,1.878,2.384,2.441,1.07,1.134,1.427,1.536,1.747,1.763,1.272,2.313,1.871,1.889,1.947,1.915,4.448,1.818,1.542,3.496,2.653,2.563,1.302,1.067,0.728,1.531,1.409
M019_Fructose 6-phosphate+M106_Glucose 6-phosphate+M051_Glucose 1-phosphate,0.006,0.004,0.009,0,0.003,0.011,0.001,0.001,0.027,0.009,0.002,0.003,0.008,0.001,0.001,0.011,0.008,0.003,0.017,0.008,0.003,0.003,0.005,0.005,0.018,0.001,0.008,0,0.001
"M020_Fructose 1,6-bisphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M021_2-Phosphoglyceric acid+M305_3-Phosphoglyceric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M022_Phosphoenolpyruvic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M023_L-Valine_new,106.186,110.96,82.851,76.94,74.104,110.693,86.133,92.608,152.708,72.996,88.874,69.046,116.38,106.317,77.095,77.208,83.836,70.088,158.448,107.725,81.511,74.16,46.436,71.704,88.108,55.918,104.476,74.255,71.182
M024_Leucine (s),121.418,121.453,85.329,110.368,107.014,108.608,118.673,121.056,145.703,86.173,136.972,99.234,85.316,155.714,111.66,113.644,105.065,106.514,164.452,140.583,140.838,101.778,73.726,112.544,120.033,106.518,129.443,100.17,88.624
M025_Histidine_new,11.332,5.971,6.462,5.1,5.862,10.8,7.164,5.954,13.86,5.708,4.956,8.302,8.523,7.44,5.476,9.519,8.288,7.116,10.752,7.658,6.431,6.02,4.788,6.902,11.963,5.868,7.194,6.205,4.708
M026_Phenylalanine,124.268,101.841,98.137,102.19,86.594,105.795,148.653,110.318,106.44,73.769,110.992,150.45,96.055,117.097,67.51,110.364,86.124,102.49,122.114,116.634,96.44,154.676,75.298,102.37,107.913,91.824,109.346,93.475,83.348
M027_Glutamine_2,575.309,369.878,404.169,233.404,331.966,434.145,356.077,355.304,180.675,364.962,56.018,278.252,169.03,432.363,525.931,469.364,569.267,142.566,583.857,720.079,540.984,310.804,416.948,371.134,518.758,41.368,113.965,373.871,41.522
M028_Tyrosine,134.041,79.478,76.214,113.044,95.828,108.338,200.628,111.352,148.778,69.385,132.608,124.224,93.334,133.694,48.783,104.978,99.699,98.906,137.681,116.956,70.06,106.948,67.526,101.126,72.646,83.572,103.512,87.63,63.68
M029_Isoleucine  (s),52.814,57.448,43.417,51.76,44.312,49.2,54.91,55.076,75.93,43.4,65.912,47.43,46.67,66.126,51.788,51.675,55.541,41.555,87.119,71.653,53.244,50.304,34.878,51.224,54.588,42.952,78.204,45.952,40.806
M030_Threonine (s),114.832,97.872,93.803,104.022,95.052,102.353,144.841,115.7,105.075,70.4,110.224,147.888,93.668,114.043,63.728,108.469,81.563,94.772,119.705,111.085,92.362,150.294,70.158,97.576,98.708,88.594,104.021,90.788,73.31
M031_L-Glutamic acid,2.709,1.583,2.123,1.342,1.67,3.038,1.712,1.652,3.18,1.962,1.502,1.63,3.709,2.149,1.938,2.878,2.277,1.898,4.552,2.274,1.644,2.244,1.592,2.624,2.704,1.944,2.106,1.604,1.35
M032_Arginine,27.186,23.411,22.472,15.568,21.52,28.538,21.245,21.184,25.673,24.327,21.14,15.378,21.9,21.446,19.479,26.075,28.66,18.34,24.105,25.175,23.809,21.186,20.608,24.792,18.796,18.184,33.632,17.471,16.85
M033_Lysine (s),27.714,18.289,14.622,12.474,12.406,42.435,18.085,11.808,34.32,14.75,13.748,10.38,26.005,22.334,16.286,19.575,22.435,15.136,27.805,23.425,15.784,16.516,11.078,13.552,28.05,10.352,17.115,11.49,13.454
M034_S-Adenosylmethionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M035_Dihydroxyacetone phosphate+M097,0.039,0.028,0.029,0.014,0.018,0.041,0.021,0.018,0.063,0.053,0.017,0.017,0.037,0.015,0.017,0.023,0.024,0.015,0.021,0.021,0.014,0.019,0.018,0.014,0.032,0.005,0.012,0.016,0.017
M036_Picolinic acid#,0.037,0.022,0.078,0.069,0.025,0.074,0.072,0.073,0.05,0.032,0.021,0.005,0.112,0.079,0.037,0.049,0.099,0.144,0.047,0.032,0.051,0.039,0.02,0.047,0.052,0.037,0.095,0.04,0.07
M039_NADP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M041_NAD,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.018,0,0,0,0
M043_Dephospho-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M046_3-Hydroxy-3-methylglutaryl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M047_Nicotinamide#,0.039,0.022,0.083,0.072,0.026,0.074,0.075,0.073,0.053,0.033,0.022,0.005,0.112,0.08,0.039,0.05,0.106,0.146,0.048,0.032,0.051,0.04,0.022,0.047,0.055,0.039,0.095,0.038,0.072
M048_AICAR,0.003,0.003,0.003,0.001,0.001,0.005,0.002,0.001,0.005,0.003,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.001
M049_S-Adenosylhomocysteine#,0.021,0.043,0.025,0.027,0.064,0.006,0.071,0.009,0.023,0.033,0.045,0.047,0.01,0.026,0.011,0.083,0.053,0.038,0.02,0.032,0.061,0.035,0.09,0.04,0.057,0.051,0.03,0.025,0.02
M050_Deoxyribose 5-phosphate,0,0,0,0,0,0.007,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0
M052_dUMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M054_Hypoxanthine,0.527,1.514,0.978,0.606,0.55,0.24,0.62,0.272,0.12,0.388,0.594,0.392,0.539,0.834,0.031,1.067,1.03,2.948,1.519,0.575,0.318,0.536,0.514,0.432,1.363,1.986,1.124,1.448,0.542
M055_D-Ribose 5-phosphate,0.022,0.012,0.023,0.004,0.003,0.015,0.011,0.006,0.017,0.015,0,0.002,0.01,0.013,0.004,0.007,0.014,0.009,0.012,0.011,0.006,0.003,0.004,0.012,0.021,0.009,0.007,0.007,0.007
M056_Glutathione,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M057_Gluconic acid,0.573,0.473,0.757,0.294,1.432,0.39,0.584,0.5,0.975,1.927,0.42,0.634,0.525,0.274,0.211,1.072,0.965,0.537,1.567,0.461,0.456,0.39,1.534,0.834,1.158,1.2,1.413,0.515,0.354
M058_Uric acid (s),325.459,608.143,338.645,233.046,265.184,195.675,318.743,300.17,222.375,388.131,376.19,370.148,210.818,259.32,227.917,544.619,377.253,208.908,394.21,235.595,250.278,273.924,827.698,452.518,175.717,212.438,288.894,233.296,175.062
M062_1-Methylhistidine,1.214,3.257,2.248,1.698,1.322,2.228,2.182,3.246,3.375,3.215,1.758,2.7,2.291,2.06,2.241,5.958,3.027,1.739,2.781,1.639,1.644,2.29,5.922,3.918,4.379,4.358,2.522,1.735,1.608
M063_1-Methylnicotinamide,0.01,0.027,0.03,0.019,0.025,0.008,0.056,0.008,0.016,0.006,0.002,0,0.063,0.035,0.01,0.024,0.037,0.007,0.013,0.01,0.009,0.018,0.022,0.032,0.064,0.008,0.017,0.012,0.02
M064_Gentisic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M065_Deoxycytidine,0.002,0.016,0.005,0,0,0.002,0.009,0,0,0.023,0,0,0.001,0.004,0.002,0.007,0.025,0.001,0.005,0.027,0.003,0,0,0,0.008,0,0.014,0.006,0
M068_2-Ketohexanoic acid_NEG,0.809,1.426,0.712,0.519,0.751,0.982,0.577,0.481,0.637,0.935,0.554,0.645,1.257,0.472,1.094,0.634,1.454,1.183,0.902,0.74,0.821,1.429,1.526,0.767,0.958,0.793,0.407,0.607,0.587
M069_5-Methoxytryptophan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M070_L-Acetylcarnitine#,2.595,3.376,2.294,2.408,2.85,1.77,2.984,2.348,0.84,2.612,1.346,4.928,1.064,1.509,2.932,4.931,3.692,0.811,2.743,2.807,2.387,2.488,7.354,4.204,4.275,0.778,0.926,2.866,0.566
