,C0,C2,C3,C3-DC (C4-OH),C4,C4:1,C5,C5-DC (C6-OH),C5-OH (C3-DC-M),C5:1,C10,C12:1,C14:2-OH,Ala,Arg,Asn,Asp,Cit,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Orn,Phe,Pro,Ser,Thr,Trp,Tyr,Val,Ac-Orn,ADMA,alpha-AAA,Creatinine,DOPA,Kynurenine,Met-SO,Putrescine,SDMA,Spermidine,t4-OH-Pro,Taurine,total DMA,lysoPC a C18:2,lysoPC a C20:4,lysoPC a C24:0,PC aa C30:2,PC aa C32:1,PC aa C32:2,PC aa C34:1,PC aa C34:2,PC aa C36:1,PC aa C36:2,PC aa C36:3,PC aa C36:4,PC aa C36:6,PC aa C38:3,PC aa C38:4,PC aa C38:5,PC aa C40:3,PC aa C42:1,PC aa C42:6,PC ae C30:1,PC ae C30:2,PC ae C32:1,PC ae C36:3,PC ae C36:4,PC ae C38:2,PC ae C40:2,SM C16:0,SM C16:1,SM C18:0,SM C18:1,SM C22:3,SM C24:0
CTRL1,10.5667,2.1033,0.2107,0.0070,0.0530,0.0087,0.0633,0.0070,0.0263,0.0093,0.1183,0.0307,0.0083,150.0000,63.6667,23.2667,0.9267,2.8767,450.0000,3.8333,10.2667,40.3333,50.0000,91.6667,82.3333,9.8667,13.8667,67.6667,27.2667,33.1667,80.3333,15.9000,61.3333,145.0000,0.2460,0.2110,0.8267,28.2667,0.0760,0.4267,12.3667,0.0997,2.4800,0.1010,1.6467,12.1667,1.9533,0.0187,0.0160,0.0187,0.0020,0.0163,0.0060,0.2050,0.0967,0.0513,0.0753,0.0337,0.0420,0.0083,0.0240,0.0430,0.0173,0.0033,0.0200,0.0220,0.0083,0.0037,0.0067,0.0040,0.0063,0.0067,0.0000,0.0537,0.0103,0.0137,0.0130,0.0017,0.0120
CTRL2,7.9333,1.9800,0.1450,0.0313,0.0570,0.0107,0.0513,0.0090,0.0280,0.0120,0.1287,0.0337,0.0090,81.6667,79.6667,20.3000,1.1400,2.6933,440.0000,3.0867,5.6000,38.0000,41.3333,80.3333,85.6667,2.2933,9.0667,56.6667,7.8333,28.3000,42.6667,16.5000,37.6667,124.0000,0.8033,0.2117,1.0533,24.4000,0.0380,0.3183,9.6667,0.0617,3.0067,0.0333,1.6133,8.7333,2.3833,0.0257,0.0130,0.0193,0.0037,0.0143,0.0087,0.1450,0.0797,0.0290,0.0577,0.0253,0.0337,0.0047,0.0143,0.0270,0.0137,0.0000,0.0157,0.0203,0.0090,0.0057,0.0040,0.0033,0.0087,0.0030,0.0043,0.0373,0.0080,0.0173,0.0093,0.0017,0.0080
CTRL3,12.4667,2.0833,0.3500,0.0083,0.0867,0.0103,0.1023,0.0060,0.0340,0.0150,0.1387,0.0510,0.0157,195.6667,100.3333,29.4667,1.2400,3.2700,556.6667,5.3667,3.3667,55.3333,89.0000,183.6667,115.6667,20.0333,13.3667,109.0000,14.5667,74.6667,112.6667,25.5667,88.6667,333.3333,0.3110,0.2863,2.6433,34.0000,0.1013,0.7900,16.1667,0.2440,4.0333,0.2523,4.0333,13.1000,2.8467,0.0303,0.0133,0.0130,0.0037,0.0127,0.0040,0.0633,0.0493,0.0160,0.0243,0.0177,0.0207,0.0057,0.0067,0.0153,0.0060,0.0000,0.0180,0.0210,0.0050,0.0043,0.0023,0.0000,0.0070,0.0027,0.0000,0.0217,0.0050,0.0000,0.0037,0.0003,0.0080
CTRL5,8.1000,1.1367,0.1517,0.0040,0.0820,0.0090,0.0503,0.0050,0.0203,0.0073,0.0863,0.0383,0.0107,154.3333,100.3333,37.6667,1.0600,3.5667,536.6667,2.6267,6.6333,44.3333,68.3333,129.3333,80.6667,11.5667,14.6667,87.3333,18.1333,58.0000,150.6667,21.7333,82.3333,229.3333,0.2390,0.2393,1.1367,22.3667,0.3700,0.5633,28.3333,0.1033,2.9933,0.0773,1.1533,9.9667,2.1667,0.0287,0.0113,0.0173,0.0023,0.0070,0.0063,0.0617,0.0320,0.0183,0.0213,0.0053,0.0073,0.0073,0.0000,0.0107,0.0060,0.0033,0.0173,0.0417,0.0073,0.0073,0.0053,0.0060,0.0000,0.0047,0.0053,0.0157,0.0050,0.0083,0.0057,0.0043,0.0070
CTRL6,8.8667,1.8567,0.1890,0.0107,0.0500,0.0100,0.0687,0.0050,0.0243,0.0133,0.1177,0.0363,0.0100,164.3333,102.3333,29.7667,1.4300,3.3033,590.0000,3.7333,3.4667,51.3333,80.0000,148.6667,100.6667,9.8000,18.7333,73.6667,18.2000,52.3333,115.6667,24.7667,66.0000,256.3333,0.6100,0.2600,1.8167,23.6000,0.0680,0.4567,27.8333,0.1533,3.2533,0.1157,1.6700,13.5333,2.4333,0.0233,0.0117,0.0210,0.0023,0.0150,0.0057,0.1280,0.0623,0.0297,0.0433,0.0197,0.0180,0.0047,0.0110,0.0227,0.0087,0.0027,0.0190,0.0260,0.0083,0.0067,0.0030,0.0067,0.0000,0.0037,0.0030,0.0313,0.0080,0.0123,0.0073,0.0013,0.0127
CTRL7,5.4333,1.2267,0.1147,0.0060,0.0377,0.0093,0.0490,0.0057,0.0297,0.0117,0.1260,0.0420,0.0137,187.0000,119.3333,31.8667,1.6733,5.1667,783.3333,5.6000,2.4367,47.0000,64.6667,125.3333,114.3333,19.5333,18.2667,74.3333,15.7333,40.3333,86.3333,21.4667,64.3333,217.6667,0.9367,0.3090,2.2667,49.6667,0.1200,0.4900,10.1333,0.1710,4.8667,0.0967,3.2367,11.2000,3.3333,0.0273,0.0163,0.0287,0.0033,0.0247,0.0090,0.2867,0.2013,0.0720,0.1350,0.0590,0.0603,0.0073,0.0270,0.0427,0.0160,0.0033,0.0187,0.0230,0.0063,0.0083,0.0080,0.0063,0.0077,0.0047,0.0033,0.0667,0.0143,0.0173,0.0127,0.0023,0.0197
CTRL8,7.9333,1.9433,0.2260,0.0063,0.0717,0.0103,0.0680,0.0073,0.0267,0.0127,0.1140,0.0363,0.0113,132.6667,83.0000,27.3333,1.5333,3.6333,550.0000,3.2667,2.7900,48.3333,71.3333,127.3333,114.0000,15.5000,17.3667,82.6667,11.0333,65.6667,85.3333,20.9000,81.6667,197.6667,0.3967,0.2207,1.7333,20.6333,0.0900,0.3667,16.6667,0.1680,2.7667,0.1123,2.6200,18.4000,2.0533,0.0233,0.0083,0.0117,0.0050,0.0063,0.0073,0.0527,0.0290,0.0160,0.0177,0.0067,0.0103,0.0057,0.0057,0.0117,0.0050,0.0033,0.0263,0.0213,0.0047,0.0040,0.0023,0.0023,0.0050,0.0000,0.0027,0.0150,0.0030,0.0033,0.0000,0.0000,0.0077
CTRL10,9.0000,1.6500,0.1937,0.0047,0.0507,0.0100,0.0470,0.0057,0.0213,0.0103,0.1150,0.0337,0.0100,152.0000,101.6667,36.6667,0.8033,3.3100,596.6667,4.3000,10.1333,68.3333,100.0000,197.0000,113.0000,22.6333,14.8000,147.3333,13.9667,111.6667,127.3333,29.9667,120.0000,343.3333,0.4400,0.2563,2.4567,25.4333,0.0663,0.5900,25.0000,0.1113,4.8000,0.0857,2.3167,15.1667,3.2533,0.0280,0.0113,0.0000,0.0023,0.0083,0.0103,0.0617,0.0303,0.0200,0.0157,0.0127,0.0103,0.0067,0.0047,0.0100,0.0077,0.0000,0.0153,0.0263,0.0070,0.0060,0.0000,0.0000,0.0000,0.0000,0.0010,0.0157,0.0063,0.0013,0.0040,0.0027,0.0077
CTRL11,9.4000,1.5267,0.2193,0.0083,0.0533,0.0043,0.0710,0.0043,0.0260,0.0107,0.0740,0.0303,0.0083,238.3333,70.0000,29.2667,0.8900,2.8533,403.3333,6.2000,6.5667,30.9000,80.0000,146.0000,100.3333,15.8667,17.9000,99.3333,19.6333,41.3333,87.0000,21.9333,114.0000,243.3333,0.7267,0.2440,1.6467,20.0000,0.3600,0.4633,9.6667,0.0947,2.1267,0.1680,1.3467,21.4667,1.8167,0.0260,0.0083,0.0183,0.0013,0.0070,0.0057,0.0170,0.0203,0.0000,0.0070,0.0050,0.0043,0.0037,0.0057,0.0057,0.0050,0.0000,0.0120,0.0303,0.0053,0.0037,0.0050,0.0000,0.0037,0.0000,0.0000,0.0093,0.0037,0.0017,0.0027,0.0027,0.0057
CTRL12,9.2333,1.3433,0.1873,0.0037,0.0487,0.0080,0.0553,0.0043,0.0217,0.0087,0.0880,0.0343,0.0110,120.3333,92.6667,23.6667,1.3467,5.5667,586.6667,4.5333,7.0333,68.0000,69.6667,129.3333,94.6667,14.2667,17.2000,104.0000,29.3667,87.0000,81.3333,24.4667,77.6667,239.3333,0.2410,0.2423,1.1733,18.3667,0.0603,0.6333,10.7667,0.1247,3.0433,0.1167,1.2033,22.4000,2.3467,0.0253,0.0080,0.0240,0.0017,0.0103,0.0000,0.0550,0.0263,0.0173,0.0130,0.0080,0.0060,0.0040,0.0063,0.0097,0.0053,0.0033,0.0160,0.0257,0.0047,0.0057,0.0000,0.0030,0.0000,0.0000,0.0043,0.0123,0.0040,0.0060,0.0013,0.0023,0.0033
