	Comparison	raw_p_value	gene	BH_adj_p_value	signif_level	dataresource
CLMP	Control_vs_POAG	3.04E-09	CLMP	4.66E-09	***	Liu et.al
LRIG1	Control_vs_POAG	6.25E-15	LRIG1	5.01E-14	***	Liu et.al
NPTXR	Control_vs_POAG	2.30E-15	NPTXR	4.62E-14	***	Liu et.al
AHCY	Control_vs_POAG	3.00E-14	AHCY	1.45E-13	***	Liu et.al
THOP1	Control_vs_POAG	7.34E-14	THOP1	2.70E-13	***	Liu et.al
CTSO	Control_vs_POAG	3.01E-15	CTSO	4.62E-14	***	Liu et.al
FCRL1	Control_vs_POAG	4.35E-06	FCRL1	5.55E-06	***	Liu et.al
CD164	Control_vs_POAG	2.20E-05	CD164	2.73E-05	***	Liu et.al
DDC	Control_vs_POAG	5.85E-15	DDC	5.01E-14	***	Liu et.al
ACP6	Control_vs_POAG	6.68E-15	ACP6	5.01E-14	***	Liu et.al
TFF2	Control_vs_POAG	8.82E-13	TFF2	1.93E-12	***	Liu et.al
S100P	Control_vs_POAG	0.310603624	S100P	0.32472197	ns	Liu et.al
ANGPT2	Control_vs_POAG	1.69E-11	ANGPT2	3.17E-11	***	Liu et.al
CD2AP	Control_vs_POAG	3.72E-09	CD2AP	5.53E-09	***	Liu et.al
ANGPTL7	Control_vs_POAG	7.35E-13	ANGPTL7	1.73E-12	***	Liu et.al
CLEC5A	Control_vs_POAG	5.69E-14	CLEC5A	2.28E-13	***	Liu et.al
TINAGL1	Control_vs_POAG	2.31E-12	TINAGL1	4.73E-12	***	Liu et.al
GLRX	Control_vs_POAG	6.72E-06	GLRX	8.47E-06	***	Liu et.al
ENO2	Control_vs_POAG	5.85E-15	ENO2	5.01E-14	***	Liu et.al
NADK	Control_vs_POAG	3.52E-13	NADK	9.25E-13	***	Liu et.al
GHRL	Control_vs_POAG	0.017986402	GHRL	0.020179866	*	Liu et.al
SERPINB8	Control_vs_POAG	1.30E-13	SERPINB8	3.98E-13	***	Liu et.al
SERPINB6	Control_vs_POAG	2.81E-14	SERPINB6	1.44E-13	***	Liu et.al
CDHR5	Control_vs_POAG	1.65E-08	CDHR5	2.33E-08	***	Liu et.al
CCDC80	Control_vs_POAG	7.81E-13	CCDC80	1.80E-12	***	Liu et.al
DIABLO	Control_vs_POAG	0.240989422	DIABLO	0.254839388	ns	Liu et.al
CA13	Control_vs_POAG	2.82E-15	CA13	4.62E-14	***	Liu et.al
SEMA3F	Control_vs_POAG	1.01E-13	SEMA3F	3.31E-13	***	Liu et.al
KLK10	Control_vs_POAG	5.09E-13	KLK10	1.30E-12	***	Liu et.al
PILRB	Control_vs_POAG	1.57E-13	PILRB	4.65E-13	***	Liu et.al
ANGPTL1	Control_vs_POAG	2.81E-14	ANGPTL1	1.44E-13	***	Liu et.al
APLP1	Control_vs_POAG	2.28E-13	APLP1	6.35E-13	***	Liu et.al
ADGRG2	Control_vs_POAG	0.104554234	ADGRG2	0.11451178	ns	Liu et.al
TYMP	Control_vs_POAG	7.14E-15	TYMP	5.01E-14	***	Liu et.al
GRAP2	Control_vs_POAG	0.465258522	GRAP2	0.480941394	ns	Liu et.al
LILRA5	Control_vs_POAG	1.97E-10	LILRA5	3.08E-10	***	Liu et.al
ALDH1A1	Control_vs_POAG	2.46E-15	ALDH1A1	4.62E-14	***	Liu et.al
CD79B	Control_vs_POAG	1.77E-10	CD79B	2.81E-10	***	Liu et.al
ANXA4	Control_vs_POAG	0.20611669	ANXA4	0.220496924	ns	Liu et.al
ANXA11	Control_vs_POAG	1.93E-06	ANXA11	2.57E-06	***	Liu et.al
SIGLEC7	Control_vs_POAG	1.13E-14	SIGLEC7	6.94E-14	***	Liu et.al
ITGB7	Control_vs_POAG	0.491145009	ITGB7	0.502059342	ns	Liu et.al
QDPR	Control_vs_POAG	7.34E-14	QDPR	2.70E-13	***	Liu et.al
SNAP23	Control_vs_POAG	0.119612531	SNAP23	0.129462974	ns	Liu et.al
APEX1	Control_vs_POAG	8.30E-13	APEX1	1.86E-12	***	Liu et.al
ENTPD5	Control_vs_POAG	9.24E-05	ENTPD5	0.000111828	***	Liu et.al
CLSTN2	Control_vs_POAG	3.68E-15	CLSTN2	4.83E-14	***	Liu et.al
COMT	Control_vs_POAG	6.69E-12	COMT	1.31E-11	***	Liu et.al
CLUL1	Control_vs_POAG	4.41E-14	CLUL1	1.93E-13	***	Liu et.al
HDGF	Control_vs_POAG	2.79E-06	HDGF	3.61E-06	***	Liu et.al
CHRDL2	Control_vs_POAG	1.65E-08	CHRDL2	2.33E-08	***	Liu et.al
CTSH	Control_vs_POAG	4.80E-15	CTSH	5.01E-14	***	Liu et.al
NOMO1	Control_vs_POAG	2.15E-15	NOMO1	4.62E-14	***	Liu et.al
NQO2	Control_vs_POAG	0.018395848	NQO2	0.020390578	*	Liu et.al
SOST	Control_vs_POAG	1.08E-10	SOST	1.81E-10	***	Liu et.al
FAM3C	Control_vs_POAG	6.57E-11	FAM3C	1.14E-10	***	Liu et.al
TXNDC5	Control_vs_POAG	1.08E-10	TXNDC5	1.81E-10	***	Liu et.al
PPP1R2	Control_vs_POAG	2.76E-12	PPP1R2	5.53E-12	***	Liu et.al
